"Anno","Mese","Codice Istat","Provincia","Matrimoni religiosi","Matrimoni civili","Totale"
"2011","Novembre","037","Bologna","10","76","86"
"2011","Dicembre","037","Bologna","34","117","151"
"2011","Tutti i mesi","037","Bologna","1092","1645","2737"
"2012","Gennaio","037","Bologna","13","58","71"
"2012","Febbraio","037","Bologna","17","54","71"
"2012","Marzo","037","Bologna","16","104","120"
"2012","Aprile","037","Bologna","63","119","182"
"2012","Maggio","037","Bologna","111","190","301"
"2012","Giugno","037","Bologna","258","275","533"
"2012","Luglio","037","Bologna","165","204","369"
"2012","Agosto","037","Bologna","34","91","125"
"2012","Settembre","037","Bologna","279","290","569"
"2012","Ottobre","037","Bologna","58","157","215"
"2012","Novembre","037","Bologna","10","68","78"
"2012","Dicembre","037","Bologna","42","160","202"
"2012","Tutti i mesi","037","Bologna","1066","1770","2836"
"2013","Gennaio","037","Bologna","9","42","51"
"2013","Febbraio","037","Bologna","6","71","77"
"2013","Marzo","037","Bologna","7","103","110"
"2013","Aprile","037","Bologna","55","123","178"
"2013","Maggio","037","Bologna","91","172","263"
"2013","Giugno","037","Bologna","245","313","558"
"2013","Luglio","037","Bologna","134","179","313"
"2013","Agosto","037","Bologna","45","115","160"
"2013","Settembre","037","Bologna","222","255","477"
"2013","Ottobre","037","Bologna","60","145","205"
"2013","Novembre","037","Bologna","10","77","87"
"2013","Dicembre","037","Bologna","46","121","167"
"2013","Tutti i mesi","037","Bologna","930","1716","2646"
"2014","Gennaio","037","Bologna","5","50","55"
"2014","Febbraio","037","Bologna","5","67","72"
"2014","Marzo","037","Bologna","23","86","109"
"2014","Aprile","037","Bologna","31","122","153"
"2014","Maggio","037","Bologna","101","197","298"
"2014","Giugno","037","Bologna","240","257","497"
"2014","Luglio","037","Bologna","154","232","386"
"2014","Agosto","037","Bologna","62","125","187"
"2014","Settembre","037","Bologna","236","253","489"
"2014","Ottobre","037","Bologna","47","148","195"
"2014","Novembre","037","Bologna","8","88","96"
"2014","Dicembre","037","Bologna","19","122","141"
"2014","Tutti i mesi","037","Bologna","931","1747","2678"
"2015","Gennaio","037","Bologna","6","75","81"
"2015","Febbraio","037","Bologna","10","87","97"
"2015","Marzo","037","Bologna","5","105","110"
"2015","Aprile","037","Bologna","38","109","147"
"2015","Maggio","037","Bologna","121","225","346"
"2015","Giugno","037","Bologna","204","297","501"
"2015","Luglio","037","Bologna","156","244","400"
"2015","Agosto","037","Bologna","71","130","201"
"2015","Settembre","037","Bologna","191","260","451"
"2015","Ottobre","037","Bologna","63","176","239"
"2015","Novembre","037","Bologna","7","81","88"
"2015","Dicembre","037","Bologna","23","122","145"
"2015","Tutti i mesi","037","Bologna","895","1911","2806"
"2016","Gennaio","037","Bologna","6","71","77"
"2016","Febbraio","037","Bologna","7","86","93"
"2016","Marzo","037","Bologna","1","93","94"
"2016","Aprile","037","Bologna","54","164","218"
"2016","Maggio","037","Bologna","83","219","302"
"2016","Giugno","037","Bologna","216","307","523"
"2016","Luglio","037","Bologna","180","270","450"
"2016","Agosto","037","Bologna","46","104","150"
"2016","Settembre","037","Bologna","202","284","486"
"2016","Ottobre","037","Bologna","61","187","248"
"2016","Novembre","037","Bologna","8","91","99"
"2016","Dicembre","037","Bologna","32","133","165"
"2016","Tutti i mesi","037","Bologna","896","2009","2905"
"2017","Gennaio","037","Bologna","7","65","72"
"2017","Febbraio","037","Bologna","11","62","73"
"2017","Marzo","037","Bologna","5","75","80"
"2017","Aprile","037","Bologna","42","126","168"
"2017","Maggio","037","Bologna","80","179","259"
"2017","Giugno","037","Bologna","182","292","474"
"2017","Luglio","037","Bologna","174","271","445"
"2017","Agosto","037","Bologna","39","109","148"
"2017","Settembre","037","Bologna","212","324","536"
"2017","Ottobre","037","Bologna","42","156","198"
"2017","Novembre","037","Bologna","6","84","90"
"2017","Dicembre","037","Bologna","29","138","167"
"2017","Tutti i mesi","037","Bologna","829","1881","2710"
"2018","Gennaio","037","Bologna","2","71","73"
"2018","Febbraio","037","Bologna","5","88","93"
"2018","Marzo","037","Bologna","3","103","106"
"2018","Aprile","037","Bologna","47","141","188"
"2018","Maggio","037","Bologna","72","227","299"
"2018","Giugno","037","Bologna","210","353","563"
"2018","Luglio","037","Bologna","108","207","315"
"2018","Agosto","037","Bologna","37","117","154"
"2018","Settembre","037","Bologna","200","330","530"
"2018","Ottobre","037","Bologna","34","173","207"
"2018","Novembre","037","Bologna","5","90","95"
"2018","Dicembre","037","Bologna","27","158","185"
"2018","Tutti i mesi","037","Bologna","750","2058","2808"
"2019","Gennaio","037","Bologna","4","78","82"
"2019","Febbraio","037","Bologna","4","82","86"
"2019","Marzo","037","Bologna","5","93","98"
"2019","Aprile","037","Bologna","17","134","151"
"2019","Maggio","037","Bologna","83","187","270"
"2019","Giugno","037","Bologna","183","347","530"
"2019","Luglio","037","Bologna","121","207","328"
"2019","Agosto","037","Bologna","44","131","175"
"2019","Settembre","037","Bologna","179","312","491"
"2019","Ottobre","037","Bologna","48","200","248"
"2019","Novembre","037","Bologna","7","96","103"
"2019","Dicembre","037","Bologna","14","122","136"
"2019","Tutti i mesi","037","Bologna","709","1989","2698"
"2020","Gennaio","037","Bologna","6","65","71"
"2020","Febbraio","037","Bologna","2","115","117"
"2020","Marzo","037","Bologna","1","43","44"
"2020","Aprile","037","Bologna","2","16","18"
"2020","Maggio","037","Bologna","5","69","74"
"2020","Giugno","037","Bologna","21","171","192"
"2020","Luglio","037","Bologna","18","187","205"
"2020","Agosto","037","Bologna","46","126","172"
"2020","Settembre","037","Bologna","111","247","358"
"2020","Ottobre","037","Bologna","57","203","260"
"2020","Novembre","037","Bologna","1","95","96"
"2020","Dicembre","037","Bologna","8","140","148"
"2020","Tutti i mesi","037","Bologna","278","1477","1755"
"2021","Gennaio","037","Bologna","1","68","69"
"2021","Febbraio","037","Bologna","4","63","67"
"2021","Marzo","037","Bologna","1","85","86"
"2021","Aprile","037","Bologna","6","70","76"
"2021","Maggio","037","Bologna","40","162","202"
"2021","Giugno","037","Bologna","103","257","360"
"2021","Luglio","037","Bologna","172","259","431"
"2021","Agosto","037","Bologna","66","124","190"
"2021","Settembre","037","Bologna","204","329","533"
"2021","Ottobre","037","Bologna","51","213","264"
"2021","Novembre","037","Bologna","2","84","86"
"2021","Dicembre","037","Bologna","4","162","166"
"2021","Tutti i mesi","037","Bologna","654","1876","2530"
"2022","Gennaio","037","Bologna","2","63","65"
"2022","Febbraio","037","Bologna","10","79","89"
"2022","Marzo","037","Bologna","5","112","117"
"2022","Aprile","037","Bologna","19","148","167"
"2022","Maggio","037","Bologna","70","267","337"
"2022","Giugno","037","Bologna","172","348","520"
"2022","Luglio","037","Bologna","122","322","444"
"2022","Agosto","037","Bologna","44","143","187"
"2022","Settembre","037","Bologna","191","356","547"
"2022","Ottobre","037","Bologna","48","202","250"
"2022","Novembre","037","Bologna","4","93","97"
"2022","Dicembre","037","Bologna","13","156","169"
"2022","Tutti i mesi","037","Bologna","700","2289","2989"
"2023","Gennaio","037","Bologna","4","80","84"
"2023","Febbraio","037","Bologna","6","69","75"
"2023","Marzo","037","Bologna","5","111","116"
"2023","Aprile","037","Bologna","21","152","173"
"2023","Maggio","037","Bologna","72","274","346"
"2023","Giugno","037","Bologna","160","388","548"
"2023","Luglio","037","Bologna","94","272","366"
"2023","Agosto","037","Bologna","26","136","162"
"2023","Settembre","037","Bologna","170","392","562"
"2023","Ottobre","037","Bologna","41","225","266"
"2023","Novembre","037","Bologna","8","109","117"
"2023","Dicembre","037","Bologna","17","143","160"
"2023","Tutti i mesi","037","Bologna","624","2351","2975"
