"Anno","Mese","Codice Istat","Regione","Matrimoni religiosi","Matrimoni civili","Totale"
"2017","Ottobre","14","Molise","0","5","5"
"2017","Novembre","14","Molise","0","3","3"
"2017","Dicembre","14","Molise","0","1","1"
"2017","Tutti i mesi","14","Molise","1","35","36"
"2018","Gennaio","14","Molise","0","1","1"
"2018","Febbraio","14","Molise","0","2","2"
"2018","Marzo","14","Molise","0","0","0"
"2018","Aprile","14","Molise","0","3","3"
"2018","Maggio","14","Molise","0","0","0"
"2018","Giugno","14","Molise","0","6","6"
"2018","Luglio","14","Molise","0","1","1"
"2018","Agosto","14","Molise","1","2","3"
"2018","Settembre","14","Molise","1","6","7"
"2018","Ottobre","14","Molise","0","3","3"
"2018","Novembre","14","Molise","0","1","1"
"2018","Dicembre","14","Molise","0","8","8"
"2018","Tutti i mesi","14","Molise","2","33","35"
"2019","Gennaio","14","Molise","0","0","0"
"2019","Febbraio","14","Molise","0","2","2"
"2019","Marzo","14","Molise","0","4","4"
"2019","Aprile","14","Molise","0","3","3"
"2019","Maggio","14","Molise","0","2","2"
"2019","Giugno","14","Molise","0","1","1"
"2019","Luglio","14","Molise","0","3","3"
"2019","Agosto","14","Molise","0","2","2"
"2019","Settembre","14","Molise","0","1","1"
"2019","Ottobre","14","Molise","0","1","1"
"2019","Novembre","14","Molise","0","0","0"
"2019","Dicembre","14","Molise","0","1","1"
"2019","Tutti i mesi","14","Molise","0","20","20"
"2020","Gennaio","14","Molise","0","0","0"
"2020","Febbraio","14","Molise","0","3","3"
"2020","Marzo","14","Molise","0","0","0"
"2020","Aprile","14","Molise","0","2","2"
"2020","Maggio","14","Molise","0","0","0"
"2020","Giugno","14","Molise","0","0","0"
"2020","Luglio","14","Molise","0","3","3"
"2020","Agosto","14","Molise","0","6","6"
"2020","Settembre","14","Molise","0","0","0"
"2020","Ottobre","14","Molise","1","4","5"
"2020","Novembre","14","Molise","0","1","1"
"2020","Dicembre","14","Molise","0","1","1"
"2020","Tutti i mesi","14","Molise","1","20","21"
"2021","Gennaio","14","Molise","0","2","2"
"2021","Febbraio","14","Molise","0","1","1"
"2021","Marzo","14","Molise","0","2","2"
"2021","Aprile","14","Molise","0","3","3"
"2021","Maggio","14","Molise","0","1","1"
"2021","Giugno","14","Molise","0","6","6"
"2021","Luglio","14","Molise","0","2","2"
"2021","Agosto","14","Molise","0","6","6"
"2021","Settembre","14","Molise","0","7","7"
"2021","Ottobre","14","Molise","0","3","3"
"2021","Novembre","14","Molise","0","1","1"
"2021","Dicembre","14","Molise","0","6","6"
"2021","Tutti i mesi","14","Molise","0","40","40"
"2022","Gennaio","14","Molise","0","3","3"
"2022","Febbraio","14","Molise","0","3","3"
"2022","Marzo","14","Molise","0","0","0"
"2022","Aprile","14","Molise","0","3","3"
"2022","Maggio","14","Molise","0","2","2"
"2022","Giugno","14","Molise","0","6","6"
"2022","Luglio","14","Molise","0","4","4"
"2022","Agosto","14","Molise","0","9","9"
"2022","Settembre","14","Molise","0","6","6"
"2022","Ottobre","14","Molise","0","2","2"
"2022","Novembre","14","Molise","0","0","0"
"2022","Dicembre","14","Molise","0","3","3"
"2022","Tutti i mesi","14","Molise","0","41","41"
"2023","Gennaio","14","Molise","0","2","2"
"2023","Febbraio","14","Molise","0","4","4"
"2023","Marzo","14","Molise","0","2","2"
"2023","Aprile","14","Molise","0","4","4"
"2023","Maggio","14","Molise","0","3","3"
"2023","Giugno","14","Molise","1","5","6"
"2023","Luglio","14","Molise","0","3","3"
"2023","Agosto","14","Molise","1","3","4"
"2023","Settembre","14","Molise","3","4","7"
"2023","Ottobre","14","Molise","0","6","6"
"2023","Novembre","14","Molise","0","1","1"
"2023","Dicembre","14","Molise","0","3","3"
"2023","Tutti i mesi","14","Molise","5","40","45"
