PROVINCIA;COMUNE;AUTOBUS;AUTOCARRO TRASPORTO MERCI;AUTOVEICOLO SPECIALE O SPECIFICO;AUTOVETTURA;MOTOCARRO E QUADRICICLO TRASPORTO MERCI;MOTOCICLO;MOTOVEICOLO E QUADRICICLI SPECIALE O SPECIFICO;TRATTORE STRADALE O MOTRICE;ALTRO;Totale complessivo
MODENA;SAN PROSPERO;;7;2;100;0;8;0;;0;117
MODENA;SASSUOLO;;58;9;1284;0;46;1;1;6;1405
MODENA;SAVIGNANO SUL PANARO;;11;1;140;0;16;0;1;1;170
MODENA;SERRAMAZZONI;;7;1;120;0;7;0;1;1;137
MODENA;SESTOLA;;1;2;41;0;1;0;;0;45
MODENA;SOLIERA;;13;2;269;0;16;0;;0;300
MODENA;SPILAMBERTO;;16;1;198;0;11;0;;1;227
MODENA;VIGNOLA;;30;3;532;0;38;0;1;0;604
MODENA;ZOCCA;;6;;63;0;9;0;;0;78
PIACENZA;AGAZZANO;;1;;22;0;1;1;;0;25
PIACENZA;ALSENO;;6;1;59;0;5;0;;0;71
PIACENZA;BESENZONE;;1;;12;0;1;0;;0;14
PIACENZA;BETTOLA;;2;;30;1;1;1;;0;35
PIACENZA;BOBBIO;;7;1;44;0;6;0;;1;59
PIACENZA;BORGONOVO VAL TIDONE;;13;1;113;0;9;0;;0;136
PIACENZA;CADEO;;6;1;75;0;4;0;1;0;87
PIACENZA;CALENDASCO;;10;;33;0;6;0;1;0;50
PIACENZA;CAMINATA;;;;3;0;0;0;;0;3
PIACENZA;CAORSO;;6;;87;0;10;1;;0;104
PIACENZA;CARPANETO PIACENTINO;;11;;128;0;11;2;;1;153
PIACENZA;CASTEL SAN GIOVANNI;;9;1;198;0;16;2;;0;226
PIACENZA;CASTELL'ARQUATO;;5;;71;0;13;1;;0;90
PIACENZA;CASTELVETRO PIACENTINO;;;;97;0;13;0;;0;110
PIACENZA;COLI;;;;9;0;3;1;;0;13
PIACENZA;CORTE BRUGNATELLA;;;1;3;0;0;0;;0;4
PIACENZA;CORTEMAGGIORE;;4;;65;0;8;0;;0;77
PIACENZA;FARINI;;4;1;13;0;3;0;;0;21
PIACENZA;FERRIERE;;2;1;12;0;1;0;;0;16
PIACENZA;FIORENZUOLA D'ARDA;;17;2;208;0;24;0;3;2;256
PIACENZA;GAZZOLA;;2;;31;0;7;1;;0;41
PIACENZA;GOSSOLENGO;;5;;133;0;18;0;;0;156
PIACENZA;GRAGNANO TREBBIENSE;;3;2;64;0;8;0;;0;77
PIACENZA;GROPPARELLO;;6;;21;0;2;0;;0;29
