PROVINCIA;COMUNE;AUTOBUS;AUTOCARRO TRASPORTO MERCI;AUTOVEICOLO SPECIALE O SPECIFICO;AUTOVETTURA;MOTOCARRO E QUADRICICLO TRASPORTO MERCI;MOTOCICLO;MOTOVEICOLO E QUADRICICLO SPECIALE O SPECIFICO;TRATTORE STRADALE O MOTRICE;ALTRO;Totale complessivo
BOLOGNA;SASSO MARCONI;;17;8;230;0;39;0;;0;294
BOLOGNA;VALSAMOGGIA;;35;5;488;0;60;1;;0;589
BOLOGNA;VERGATO;;5;1;86;0;11;1;;0;104
BOLOGNA;ZOLA PREDOSA;1;22;2;352;0;38;1;;0;416
FORLI' CESENA;BAGNO DI ROMAGNA;;8;1;65;0;4;0;;2;80
FORLI' CESENA;BERTINORO;;11;4;171;0;25;0;;0;211
FORLI' CESENA;BORGHI;;2;1;38;0;4;0;;0;45
FORLI' CESENA;CASTROCARO TERME T.D.SOLE;;8;;75;0;8;0;;1;92
FORLI' CESENA;CESENA;65;324;102;2080;0;321;2;105;120;3119
FORLI' CESENA;CESENATICO;;21;6;386;0;80;1;;1;495
FORLI' CESENA;CIVITELLA DI ROMAGNA;;2;1;34;0;4;0;;0;41
FORLI' CESENA;DOVADOLA;;;;16;0;2;0;;0;18
FORLI' CESENA;FORLI';;156;22;1961;0;221;1;2;6;2369
FORLI' CESENA;FORLIMPOPOLI;1;12;4;157;0;36;0;1;17;228
FORLI' CESENA;GALEATA;;;;20;0;1;0;;0;21
FORLI' CESENA;GAMBETTOLA;;7;2;156;0;32;0;;2;199
FORLI' CESENA;GATTEO;;8;3;120;0;26;0;1;0;158
FORLI' CESENA;LONGIANO;;6;3;100;0;16;0;1;0;126
FORLI' CESENA;MELDOLA;;6;2;126;0;18;0;;1;153
FORLI' CESENA;MERCATO SARACENO;;13;1;106;0;12;2;;1;135
FORLI' CESENA;MODIGLIANA;;5;1;59;0;18;0;;0;83
FORLI' CESENA;MONTIANO;;2;;21;0;3;0;;0;26
FORLI' CESENA;PORTICO E SAN BENEDETTO;;;;8;0;0;0;;0;8
FORLI' CESENA;PREDAPPIO;;5;;66;0;14;0;;0;85
FORLI' CESENA;PREMILCUORE;;2;;3;0;0;0;;0;5
FORLI' CESENA;ROCCA SAN CASCIANO;;2;;15;0;2;0;;0;19
FORLI' CESENA;RONCOFREDDO;;1;;47;0;8;0;;0;56
FORLI' CESENA;SAN MAURO PASCOLI;;9;2;159;0;36;0;;0;206
FORLI' CESENA;SANTA SOFIA;;4;2;42;0;5;0;;0;53
FORLI' CESENA;SARSINA;;4;;33;0;3;0;2;0;42
FORLI' CESENA;SAVIGNANO SUL RUBICONE;;11;1;213;0;43;1;;1;270
FORLI' CESENA;SOGLIANO AL RUBICONE;;3;;29;0;6;0;1;2;41
FORLI' CESENA;TREDOZIO;;1;;18;0;0;0;;0;19
FORLI' CESENA;VERGHERETO;;1;1;20;0;3;0;1;0;26
FERRARA;ARGENTA;;18;2;307;0;36;0;;1;364
FERRARA;BERRA;;3;;53;0;4;0;;0;60
FERRARA;BONDENO;1;15;2;211;0;19;0;;0;248
FERRARA;CENTO;;26;6;594;0;37;0;;1;664
FERRARA;CODIGORO;;12;;149;0;17;0;;0;178
FERRARA;COMACCHIO;;22;5;343;0;41;0;;0;411
FERRARA;COPPARO;;12;43;236;0;25;0;;0;316
FERRARA;FERRARA;3;82;16;2476;0;243;3;;4;2827
FERRARA;FISCAGLIA;;8;2;98;0;8;0;;0;116
FERRARA;FORMIGNANA;;;;39;0;2;0;;0;41
FERRARA;GORO;;2;1;67;0;5;0;;0;75
FERRARA;JOLANDA DI SAVOIA;;2;1;30;0;1;0;;0;34
FERRARA;LAGOSANTO;;3;1;72;0;4;0;;0;80
FERRARA;MASI TORELLO;;;;32;0;6;0;;0;38
FERRARA;MESOLA;;10;1;95;0;10;0;;0;116
FERRARA;OSTELLATO;;7;;96;0;5;0;;0;108
FERRARA;POGGIO RENATICO;;10;1;134;0;12;0;;0;157
FERRARA;PORTOMAGGIORE;;7;3;127;0;12;0;;0;149
FERRARA;RO;;3;;41;0;1;0;;0;45
FERRARA;TERRE DEL RENO;;4;2;142;0;10;1;;0;159
FERRARA;TRESIGALLO;;2;;50;0;3;0;;0;55
FERRARA;VIGARANO MAINARDA;;8;2;135;0;11;0;;0;156
FERRARA;VOGHIERA;;2;;45;0;8;0;;0;55
MODENA;BASTIGLIA;;2;3;47;0;9;0;;3;64
MODENA;BOMPORTO;;13;2;138;0;9;0;1;0;163
MODENA;CAMPOGALLIANO;;10;;132;0;15;0;;0;157
MODENA;CAMPOSANTO;;;3;32;0;3;0;;0;38
MODENA;CARPI;2;74;9;1160;0;174;0;;0;1419
MODENA;CASTELFRANCO EMILIA;;25;8;488;0;48;0;;2;571
MODENA;CASTELNUOVO RANGONE;;10;6;247;0;27;0;2;0;292
MODENA;CASTELVETRO DI MODENA;;12;3;176;0;29;0;;0;220
MODENA;CAVEZZO;;8;1;83;0;10;0;;0;102
MODENA;CONCORDIA SULLA SECCHIA;;12;1;93;0;10;1;;0;117
MODENA;FANANO;;;;36;0;2;3;;1;42
MODENA;FINALE EMILIA;;17;2;209;0;13;1;;0;242
MODENA;FIORANO MODENESE;;52;4;339;0;25;0;3;2;425
MODENA;FIUMALBO;;2;;12;0;1;0;;0;15
MODENA;FORMIGINE;;27;7;571;0;57;0;;1;663
MODENA;FRASSINORO;;6;;26;0;1;0;;0;33
MODENA;GUIGLIA;;2;1;54;0;5;0;;0;62
MODENA;LAMA MOCOGNO;;2;;31;0;2;0;;1;36
MODENA;MARANELLO;;27;5;259;0;23;0;;1;315
MODENA;MARANO SUL PANARO;;5;2;79;0;6;1;;0;93
MODENA;MEDOLLA;;7;3;90;0;7;0;;0;107
MODENA;MIRANDOLA;;43;9;580;0;39;0;;4;675
MODENA;MODENA;13;155;43;3915;2;305;0;2;1;4436
MODENA;MONTECRETO;;;1;7;0;1;0;;0;9
MODENA;MONTEFIORINO;;3;;33;1;3;0;;0;40
MODENA;MONTESE;;7;2;40;0;7;1;1;1;59
MODENA;NONANTOLA;;14;3;230;0;17;0;;0;264
MODENA;NOVI DI MODENA;;4;2;122;0;5;0;;0;133
MODENA;PALAGANO;;5;;21;0;0;0;;0;26
MODENA;PAVULLO NEL FRIGNANO;;18;8;171;0;33;0;2;0;232
MODENA;PIEVEPELAGO;;5;;28;0;1;1;;0;35
MODENA;POLINAGO;;;;23;0;0;0;;0;23
MODENA;PRIGNANO SULLA SECCHIA;;5;2;47;0;8;0;;1;63
MODENA;RAVARINO;;1;1;86;0;8;0;;0;96
MODENA;RIOLUNATO;;;;9;0;1;0;;0;10
MODENA;SAN CESARIO SUL PANARO;;8;5;108;0;7;0;;0;128
MODENA;SAN FELICE SUL PANARO;;10;1;120;0;11;0;3;2;147
MODENA;SAN POSSIDONIO;;;;37;0;6;0;;0;43
MODENA;SAN PROSPERO;;3;1;72;0;14;0;;2;92
MODENA;SASSUOLO;;80;5;2186;0;53;0;1;5;2330
MODENA;SAVIGNANO SUL PANARO;;9;2;131;0;14;1;2;2;161
MODENA;SERRAMAZZONI;;6;1;97;0;11;0;1;0;116
MODENA;SESTOLA;;3;1;30;0;1;0;;0;35
MODENA;SOLIERA;;15;3;226;0;20;0;1;1;266
MODENA;SPILAMBERTO;;12;2;183;0;21;1;;1;220
MODENA;VIGNOLA;;43;2;654;1;39;0;;8;747
MODENA;ZOCCA;;5;1;63;0;3;0;;0;72
PIACENZA;AGAZZANO;;3;;37;0;4;0;;0;44
PIACENZA;ALSENO;;4;1;55;0;10;0;;0;70
PIACENZA;ALTA VAL TIDONE;;2;1;30;0;5;0;;0;38
PIACENZA;BESENZONE;;;;8;0;2;0;;0;10
PIACENZA;BETTOLA;1;2;;24;0;2;0;;0;29
PIACENZA;BOBBIO;;4;;34;0;9;0;;0;47
PIACENZA;BORGONOVO VAL TIDONE;1;8;1;95;1;14;0;;0;120
PIACENZA;CADEO;;8;1;72;0;3;0;;0;84
PIACENZA;CALENDASCO;;8;;35;0;5;0;1;1;50
PIACENZA;CAORSO;;7;;66;0;5;0;1;0;79
PIACENZA;CARPANETO PIACENTINO;;8;2;100;0;6;0;1;2;119
PIACENZA;CASTEL SAN GIOVANNI;;5;2;161;0;28;1;;3;200
PIACENZA;CASTELL'ARQUATO;;7;1;49;0;11;1;;1;70
PIACENZA;CASTELVETRO PIACENTINO;;11;;68;0;9;0;;0;88
PIACENZA;CERIGNALE;;;;1;0;0;0;;0;1
PIACENZA;COLI;1;;;7;0;4;0;;0;12
PIACENZA;CORTE BRUGNATELLA;;;;6;0;1;0;;0;7
PIACENZA;CORTEMAGGIORE;;7;1;53;0;10;0;1;2;74
PIACENZA;FARINI;;2;;14;0;0;0;;0;16
PIACENZA;FERRIERE;;1;;9;0;1;1;;0;12
PIACENZA;FIORENZUOLA D'ARDA;;17;5;166;0;22;0;36;37;283
PIACENZA;GAZZOLA;;4;;24;0;5;0;;0;33
PIACENZA;GOSSOLENGO;;4;;75;0;15;0;;0;94
PIACENZA;GRAGNANO TREBBIENSE;;6;1;59;1;6;1;;0;74
PIACENZA;GROPPARELLO;;3;;33;0;3;0;;0;39
PIACENZA;LUGAGNANO VAL D'ARDA;;5;;35;0;4;0;;0;44
PIACENZA;MONTICELLI D'ONGINA;;8;;51;0;7;0;;0;66
PIACENZA;MORFASSO;;1;;11;0;0;0;1;0;13
PIACENZA;OTTONE;;1;;3;0;1;0;;0;5
PIACENZA;PIACENZA;;159;27;2814;8;351;1;5;9;3374
PIACENZA;PIANELLO VAL TIDONE;;2;;28;0;5;0;1;1;37
PIACENZA;PIOZZANO;;;;6;0;1;1;;0;8
PIACENZA;PODENZANO;;12;;143;0;18;1;;2;176
PIACENZA;PONTE DELL'OLIO;;5;;52;0;12;0;;0;69
PIACENZA;PONTENURE;1;6;9;89;0;9;0;;3;117
PIACENZA;RIVERGARO;;14;4;117;0;23;0;;1;159
PIACENZA;ROTTOFRENO;;12;1;190;0;29;0;;11;243
PIACENZA;SAN GIORGIO PIACENTINO;;2;;82;0;8;0;;1;93
PIACENZA;SAN PIETRO IN CERRO;;1;;7;0;2;0;;0;10
PIACENZA;SARMATO;;3;;45;0;7;0;;0;55
PIACENZA;TRAVO;;1;;26;1;5;0;;0;33
PIACENZA;VERNASCA;;6;;28;0;3;0;;0;37
PIACENZA;VIGOLZONE;;4;1;57;0;10;0;;0;72
PIACENZA;VILLANOVA SULL'ARDA;;2;;26;0;4;0;;0;32
PIACENZA;ZERBA;;;;1;0;0;0;;0;1
PIACENZA;ZIANO PIACENTINO;;1;;28;0;9;0;;1;39
PARMA;ALBARETO;;2;;19;0;4;0;;0;25
PARMA;BARDI;;1;1;18;0;3;0;;1;24
PARMA;BEDONIA;;5;2;37;0;4;0;1;1;50
PARMA;BERCETO;;1;;27;0;2;0;;0;30
PARMA;BORE;;1;;5;0;0;0;;0;6
PARMA;BORGO VAL DI TARO;;6;;91;0;5;0;;0;102
PARMA;BUSSETO;;7;;79;0;5;0;;0;91
PARMA;CALESTANO;;;;23;0;3;0;;0;26
PARMA;COLLECCHIO;;33;11;258;0;34;0;1;4;341
PARMA;COLORNO;;6;;115;0;13;0;;0;134
PARMA;COMPIANO;;1;;9;0;2;0;;0;12
PARMA;CORNIGLIO;1;1;;17;0;0;0;;0;19
PARMA;FELINO;;8;2;163;0;22;0;;0;195
PARMA;FIDENZA;;36;6;372;0;32;0;7;2;455
PARMA;FONTANELLATO;;3;1;112;0;15;0;;0;131
PARMA;FONTEVIVO;;3;1;96;0;9;0;;3;112
PARMA;FORNOVO DI TARO;;6;;105;0;5;1;;0;117
PARMA;LANGHIRANO;;10;3;171;0;19;0;1;0;204
PARMA;LESIGNANO DE BAGNI;;9;1;93;0;4;0;;0;107
PARMA;MEDESANO;;12;2;187;0;30;0;2;3;236
PARMA;MEZZANI;;3;;53;0;7;0;;0;63
PARMA;MONCHIO DELLE CORTI;;1;;8;0;1;2;;0;12
PARMA;MONTECHIARUGOLO;;12;2;163;0;26;0;;0;203
PARMA;NEVIANO DEGLI ARDUINI;;1;;55;0;10;0;;0;66
PARMA;NOCETO;;13;3;200;0;34;0;;1;251
PARMA;PALANZANO;;2;;9;0;0;0;;0;11
PARMA;PARMA;3;213;35;3953;1;537;2;7;9;4760
PARMA;PELLEGRINO PARMENSE;;;;8;0;3;0;;0;11
PARMA;POLESINE ZIBELLO;;2;;40;0;4;0;1;0;47
PARMA;ROCCABIANCA;;3;1;54;0;5;0;;0;63
PARMA;SALA BAGANZA;;8;1;95;0;16;0;;0;120
PARMA;SALSOMAGGIORE TERME;;20;5;262;0;45;1;;0;333
PARMA;SAN SECONDO PARMENSE;;5;1;75;0;8;0;;6;95
PARMA;SISSA TRECASALI;;10;1;106;0;11;0;1;1;130
PARMA;SOLIGNANO;;2;1;19;0;2;0;1;0;25
PARMA;SORAGNA;;11;1;82;0;7;0;;1;102
PARMA;SORBOLO;;10;1;179;0;16;0;;2;208
PARMA;TERENZO;;;1;17;0;1;1;;0;20
PARMA;TIZZANO VAL PARMA;;8;1;25;0;3;0;;0;37
PARMA;TORNOLO;1;1;;11;0;2;0;;0;15
PARMA;TORRILE;;9;1;142;0;13;0;;0;165
PARMA;TRAVERSETOLO;;14;2;124;1;18;0;;0;159
PARMA;VALMOZZOLA;;;;8;0;0;0;;0;8
PARMA;VARANO DE' MELEGARI;;3;;30;0;4;0;;0;37
PARMA;VARSI;;;;13;1;2;0;;0;16
RAVENNA;ALFONSINE;;9;1;177;0;14;0;1;1;203
RAVENNA;BAGNACAVALLO;;11;2;226;0;17;2;;1;259
RAVENNA;BAGNARA DI ROMAGNA;;3;;33;0;7;0;;0;43
RAVENNA;BRISIGHELLA;;7;1;88;0;13;0;;0;109
RAVENNA;CASOLA VALSENIO;;7;;13;0;3;0;;0;23
RAVENNA;CASTEL BOLOGNESE;;10;;160;0;12;0;1;1;184
RAVENNA;CERVIA;;33;3;446;0;87;0;;1;570
RAVENNA;CONSELICE;;8;;117;0;13;0;2;1;141
RAVENNA;COTIGNOLA;;14;1;117;0;13;0;;0;145
RAVENNA;FAENZA;;64;21;1080;0;110;0;12;7;1294
RAVENNA;FUSIGNANO;;6;1;111;0;14;0;;0;132
RAVENNA;LUGO;1;27;9;449;0;57;1;2;1;547
RAVENNA;MASSA LOMBARDA;1;7;1;125;0;17;0;;0;151
RAVENNA;RAVENNA;;166;31;3032;0;469;5;12;32;3747
RAVENNA;RIOLO TERME;6;2;2;64;0;13;0;2;1;90
RAVENNA;RUSSI;;17;1;168;0;14;1;;2;203
RAVENNA;SANT'AGATA SUL SANTERNO;;1;1;42;0;42;0;;0;86
RAVENNA;SOLAROLO;;2;1;57;0;6;0;;0;66
REGGIO EMILIA;ALBINEA;;9;1;164;0;15;0;1;2;192
REGGIO EMILIA;BAGNOLO IN PIANO;;4;1;147;0;9;0;;2;163
REGGIO EMILIA;BAISO;;5;1;47;0;7;0;1;3;64
REGGIO EMILIA;BIBBIANO;;9;1;147;2;24;0;;2;185
REGGIO EMILIA;BORETTO;;8;3;80;0;7;1;;0;99
REGGIO EMILIA;BRESCELLO;;38;2;468;0;6;0;;2;516
REGGIO EMILIA;CADELBOSCO DI SOPRA;;8;3;150;0;17;0;1;1;180
REGGIO EMILIA;CAMPAGNOLA EMILIA;;4;;85;0;7;0;;0;96
REGGIO EMILIA;CAMPEGINE;;1;1;82;0;8;0;;0;92
REGGIO EMILIA;CANOSSA;;2;;57;0;11;0;;0;70
REGGIO EMILIA;CARPINETI;;10;;50;0;3;0;;0;63
REGGIO EMILIA;CASALGRANDE;;30;5;334;0;35;0;2;4;410
REGGIO EMILIA;CASINA;;8;;56;1;7;0;;1;73
REGGIO EMILIA;CASTELLARANO;;17;1;234;0;22;0;2;6;282
REGGIO EMILIA;CASTELNOVO DI SOTTO;;9;;139;0;13;0;;0;161
REGGIO EMILIA;CASTELNOVO NE' MONTI;;13;3;198;0;33;0;;1;248
REGGIO EMILIA;CAVRIAGO;;21;2;171;0;12;0;;1;207
REGGIO EMILIA;CORREGGIO;;20;4;446;0;51;0;;7;528
REGGIO EMILIA;FABBRICO;;8;2;96;0;6;0;;0;112
REGGIO EMILIA;GATTATICO;;6;2;100;0;10;0;;0;118
REGGIO EMILIA;GUALTIERI;;3;1;79;0;14;0;;0;97
REGGIO EMILIA;GUASTALLA;;13;1;195;0;18;0;;1;228
REGGIO EMILIA;LUZZARA;;8;1;102;0;16;0;;0;127
REGGIO EMILIA;MONTECCHIO EMILIA;;8;2;150;0;21;0;1;3;185
REGGIO EMILIA;NOVELLARA;;6;4;190;0;16;0;;0;216
REGGIO EMILIA;POVIGLIO;;6;1;111;0;8;0;;2;128
REGGIO EMILIA;QUATTRO CASTELLA;;19;1;234;0;47;0;1;0;302
REGGIO EMILIA;REGGIO NELL'EMILIA;4;1018;201;6073;1;353;1;85;205;7941
REGGIO EMILIA;REGGIOLO;;6;2;139;0;17;0;;3;167
REGGIO EMILIA;RIO SALICETO;;4;;88;0;9;0;2;2;105
REGGIO EMILIA;ROLO;;4;;47;0;3;0;;0;54
REGGIO EMILIA;RUBIERA;;14;2;257;0;20;0;;1;294
REGGIO EMILIA;SAN MARTINO IN RIO;;9;;130;0;14;0;;0;153
REGGIO EMILIA;SAN POLO D'ENZA;;8;1;82;0;10;0;;0;101
REGGIO EMILIA;SANT'ILARIO D'ENZA;;11;2;192;0;26;0;3;1;235
REGGIO EMILIA;SCANDIANO;;32;7;456;0;38;0;;2;535
REGGIO EMILIA;TOANO;;5;2;64;0;5;0;;0;76
REGGIO EMILIA;VENTASSO;;2;;56;0;4;1;;1;64
REGGIO EMILIA;VETTO;;;;25;0;0;1;;0;26
REGGIO EMILIA;VEZZANO SUL CROSTOLO;;7;3;60;0;5;0;;1;76
REGGIO EMILIA;VIANO;;8;;50;0;7;0;1;0;66
REGGIO EMILIA;VILLA MINOZZO;1;4;;50;1;3;0;;0;59
RIMINI;BELLARIA IGEA MARINA;;11;3;226;0;52;0;;0;292
RIMINI;CASTELDELCI;;;;4;0;0;0;;0;4
RIMINI;CATTOLICA;;12;1;180;0;115;1;;1;310
RIMINI;CORIANO;;18;1;128;0;46;0;;0;193
RIMINI;GEMMANO;;;;13;0;3;0;;0;16
RIMINI;MAIOLO;;1;;3;0;2;0;;0;6
RIMINI;MISANO ADRIATICO;;14;1;176;0;97;0;2;0;290
RIMINI;MONDAINO;;;;14;0;6;0;;0;20
RIMINI;MONTEFIORE CONCA;;1;;24;0;15;0;;0;40
RIMINI;MONTEGRIDOLFO;;;;11;0;3;0;;0;14
RIMINI;MONTESCUDO-MONTE COLOMBO;;9;;82;0;23;0;1;1;116
RIMINI;MORCIANO DI ROMAGNA;;1;;95;0;31;0;;0;127
RIMINI;NOVAFELTRIA;;2;2;94;0;6;0;;1;105
RIMINI;PENNABILLI;;1;1;45;0;5;0;;0;52
RIMINI;POGGIO TORRIANA;;5;2;69;0;20;0;1;0;97
RIMINI;RICCIONE;1;19;7;413;0;186;1;;1;628
RIMINI;RIMINI;3;136;57;2362;1;764;0;7;7;3337
RIMINI;SALUDECIO;;1;;31;1;11;1;;0;45
RIMINI;SAN CLEMENTE;;2;1;75;0;24;0;;0;102
RIMINI;SAN GIOVANNI IN MARIGNANO;;16;1;141;0;66;0;;2;226
RIMINI;SAN LEO;2;4;2;37;0;3;0;;0;48
RIMINI;SANT'AGATA FELTRIA;;2;;21;0;5;0;;0;28
RIMINI;SANTARCANGELO DI ROMAGNA;;22;8;316;0;62;0;4;0;412
RIMINI;TALAMELLO;;;;17;0;0;0;;0;17
RIMINI;VERUCCHIO;;16;;143;0;34;0;;0;193
Totale complessivo;;189;5835;1220;80259;31;10751;64;366;660;99375
