PROVINCIA;COMUNE;AUTOBUS;AUTOCARRO TRASPORTO MERCI;AUTOVEICOLO SPECIALE O SPECIFICO;AUTOVETTURA;MOTOCARRO E QUADRICICLO TRASPORTO MERCI;MOTOCICLO;MOTOVEICOLO E QUADRICICLO SPECIALE O SPECIFICO;TRATTORE STRADALE O MOTRICE;ALTRO;TOTALE
RIMINI;POGGIO TORRIANA;;5;;54;0;26;0;;0;85
RIMINI;RICCIONE;2;21;4;275;1;269;1;;0;573
RIMINI;RIMINI;54;108;55;1603;0;1205;6;4;5;3040
RIMINI;SALUDECIO;;1;;26;0;23;2;;0;52
RIMINI;SAN CLEMENTE;1;6;;60;0;52;1;;0;120
RIMINI;SAN GIOVANNI IN MARIGNANO;;13;;91;0;85;0;1;0;190
RIMINI;SAN LEO;;3;1;29;0;13;0;1;1;48
RIMINI;SANT'AGATA FELTRIA;;2;;24;0;4;0;;0;30
RIMINI;SANTARCANGELO DI ROMAGNA;;19;4;217;0;127;1;1;4;373
RIMINI;SASSOFELTRIO;;1;;8;0;3;0;;0;12
RIMINI;TALAMELLO;;1;;11;0;4;0;;0;16
RIMINI;VERUCCHIO;;7;;90;0;41;2;;0;140
TOTALE;;228;11099;1622;71136;8;15358;116;411;483;100461
