Autore,N_Prestiti
"Fatus, Sophie",165
"Lanza, Elda",165
"Serra, Michele 1954-",165
"Bradbury, Ray",164
"Brambilla, Cristina",164
"Cima, Lodovica",164
"Dodgson, Charles Lutwidge",164
"Giordano, Paolo 1982-",164
"Pullman, Philip",164
"Watt, Fiona",164
"Gaarder, Jostein",163
Liala,163
"Mari, Iela",163
"De_André, Fabrizio",162
"De_Cataldo, Giancarlo",162
"Fine, Anne",162
"Hannah, Sophie",162
"La Plante, Lynda",162
"Nizzi, Claudio",162
"D'Adamo, Francesco",161
"Fenoglio, Beppe",161
"Melville, Herman",161
"Bukowski, Charles",160
"Harris, Joanne",160
"Sánchez, Clara",160
"Arslan, Antonia",159
"Singer, Israel Joshua",159
"Haughton, Chris",158
"Perrault, Charles 1628-1703",158
Seuss <Dr.>,158
"Ellroy, James",157
"Ben Jelloun, Tahar",156
"Brizzi, Enrico",156
"Vecchini, Silvia",156
"De_Giovanni, Maurizio",155
"Dyer, Wayne W.",155
"Oggero, Margherita",155
"Willems, Mo",155
"Day, Sylvia",152
"Frank, Anne",152
"Ende, Michael",151
"Monari, Manuela",151
"Barreau, Nicolas",150
"Bassani, Giorgio",150
"Dorn, Wulf",150
"Ginzburg, Natalia",150
"Hill, Melissa",150
"Bianchini, Luca 1970-",149
"Houellebecq, Michel",149
"Milburne, Melanie",149
"Collodi, Carlo",148
"Tolkien, J. R. R.",148
"Veronesi, Umberto",148
"Veronesi, Sandro 1959-",147
"Albertazzi, Ferdinando",146
"Guettier, Benedicte",146
"Lokko, Lesley Naa Norle",146
"Moravia, Alberto",146
"Peters, Ellis",146
Aesopus,145
"Manzini, Antonio 1964-",145
"Stout, Rex",145
"D'Urbano, Valentina",144
Osho,144
"Mancuso, Vito",143
"Mattia, Luisa",143
"Beer, Hans : de",142
"Falconer, Ian",142
"Dalla Vecchia, Fabio Marco",141
"Lessing, Doris",140
"Boyne, John",139
"Angela, Alberto",138
Kimiko,138
"Yonezu, Yusuke",138
"Cardini, Franco",137
"Lodi, Mario 1922-2014",137
"Marinelli, Carol",137
"Valentini, Cristiana",137
"Cercenà, Vanna",136
"De_Gregorio, Concita",136
"Levy, Marc 1961-",136
"Perissinotto, Alessandro",136
"Pike, Christopher",136
"Van Dyken, Rachel",136
"Vassalli, Sebastiano 1941-2015",136
"Berry, Steve",135
"Favaro, Graziella",135
"Jadoul, Émile",135
"Rava, Cristina",135
"Frescura, Loredana",134
"Marsotto, Aurora",134
"Burgess, Melvin",133
"Buticchi, Marco",133
"Dodd, Emma",133
"Scuderi, Lucia",133
"Sgarbi, Vittorio",133
"Woolf, Virginia",133
"Scaramuzzino, Giorgio",132
"Cognolato, Luca",131
"Geda, Fabio",131
"Ramadier, Cedric",131
"Ruggiu Traversi, Francesca",131
"Uhlman, Fred",131
"Williams, Cathy",131
"Bonetti, Mathilde",130
"Paasilinna, Arto",130
"Balzac, Honoré : de",129
Homerus,129
"Perry, Anne",129
"Saviano, Roberto",129
"Bernardi, Lorenza",128
"Carpi, Pinin",128
"O'Connell, Carol",128
"Atwood, Margaret",127
"Ballerini, Luigi 1963-",127
"Grazzani, Roberta",127
"Bagnoli, Giuliano <1956-    >",126
"Bat, Prunella",126
"Clerici, Lorenzo 1986-",126
"Dowswell, Paul",126
"Moroney, Tracey",126
"Sparaco, Simona",126
"Wilson, Neil",126
"Crepet, Paolo",125
"Gandolfi, Silvana",125
"Odifreddi, Piergiorgio",125
"Browne, Anthony",124
"Meyer, Stephenie",124
"Mortimer, Carole",124
"Rigoni Stern, Mario",124
"Dashner, James",123
"Dazieri, Sandrone",123
"Dell'Oro, Erminia",123
"Schneider, Helga",123
"Coben, Harlan",122
"Fallon, Steve",122
"Goethe, Johann Wolfgang : von",122
"Rattaro, Sara",122
"Cousseau, Alex",121
"Crapanzano, Dario",121
"Gay, Michel",121
"Murgia, Michela",121
"Rodda, Emily",121
"Serofilli, Loretta",121
"Brun-Cosme, Nadine",120
"Gozzi, Annamaria",120
"Mariniello, Cecco",120
"Tabucchi, Antonio",120
"Yoon, Salina",120
"Alcott, Louisa May",119
"Cass, Kiera",119
"Green, Abby",119
"Könnecke, Ole",119
"Costetti, Vilma",118
"Naumann-Villemin, Christine",118
"Witcher, Moony",118
Wu Ming,118
"Almond, David",117
"Dumas, Alexandre <1802-1870>",117
"Flaubert, Gustave 1821-1880",117
"Horowitz, Anthony",117
"Milani, Mino",117
"Scottoline, Lisa",117
"Todd, Anna",117
"Williams, John <1922-1994>",117
"Brooks, Terry",116
"Petit, Cristina",116
"Queen, Ellery",116
"Dahl, Arne",115
"Gallo, Sofia",115
"Garwood, Duncan",115
"Le Saux, Alain",115
"McCarthy, Cormac",115
"Scurati, Antonio",115
"Silva, Daniel",115
"Tartt, Donna",115
Voltaire,115
"Burnett, Frances Hodgson",114
"Frattini, Stéphane",114
"Serreli, Silvia",114
"Verasani, Grazia",114
"Borges, Jorge Luis",113
"De_Carlo, Andrea 1952-",113
"De_Crescenzo, Luciano",113
"Dürrenmatt, Friedrich",113
"Fois, Marcello",113
"Giuttari, Michele",113
"Lawrence, Kim",113
"Missiroli, Marco",113
"Nair, Anita",113
"Bambarén, Sergio",112
"Dahan, André",112
"Heyer, Georgette",112
"Kundera, Milan",112
"Manzini, Antonio <1964- >",112
"Morchio, Bruno",112
"Adler-Olsen, Jussi",111
"Avallone, Silvia",111
"Fitzgerald, Francis Scott",111
"Link, Charlotte 1963-",111
"Papini, Arianna",111
"Satrapi, Marjane",111
"De_Mari, Silvana",110
"Gomboli, Mario",110
"Sanna, Alessandro 1975-",110
"Scarrow, Simon",110
"Varriale, Pina",110
"Zweig, Stefan",110
"Alighieri, Dante",109
"Chaud, Benjamin",109
"Grangé, Jean-Christophe",109
"Luzzati, Emanuele",109
"Forman, Gayle",108
"Funnell, Pippa",108
"Vecchioni, Roberto 1943-",108
"Capriolo, Paola",107
"Castle, Richard",107
"Hamilton, Laurell K.",107
"Mancinelli, Laura",107
"Manzoni, Alessandro 1785-1873",107
"Morelli, Raffaele 1948-",107
"Solotareff, Grégoire",107
"Tessa, Sara",107
"Turow, Scott",107
"Espinosa, Albert",106
"Kellerman, Jonathan",106
"Lauzi, Bruno",106
"Scerbanenco, Giorgio",106
"Valente, Andrea 1968-",106
"Fante, John",105
"Glines, Abbi",105
"Nietzsche, Friedrich",105
Plato,105
"Ponti, Claude",105
"Smith, Tom Rob",105
"Auster, Paul",104
"Carr, John Dickson",104
"Gatti, Alessandro <1975-    >",104
"Lewis, C. S.",104
"Lowry, Lois",104
"Jordan, Penny",103
"Morgan, Sarah",103
"Brecht, Bertolt",102
"Caliceti, Giuseppe",102
"Dubini, Miriam",102
"Grafton, Sue",102
"Pérez-Reverte, Arturo",102
"Picoult, Jodi",102
"Balogh, Mary",101
"Benni, Stefano 1947-",101
"Biondillo, Gianni",101
"Camilleri, Andrea <1925-    >",101
"King, Stephen <1947-    >",101
"Manfredi, Gianfranco",101
"Melis, Alberto",101
"Severgnini, Beppe",101
