ANNO,ID_SEZIONE_CENSIMENTO_ISTAT,TOT_RESIDENTI,TOT_RESIDENTI_ITALIANI,TOT_RESIDENTI_STRANIERI
2020,1016,<10,-,-
2020,1217,<10,-,-
2020,961,<10,-,-
2020,1388,226,203,23
2020,798,132,-,-
2020,1092,55,42,13
2020,900,87,21,66
2020,1125,30,-,-
2020,1464,<10,-,-
2020,492,10,-,-
2020,570,21,-,-
2020,553,24,-,-
2020,1106,<10,-,-
2020,703,265,229,36
2020,1303,<10,-,-
2020,1282,15,-,-
2020,605,150,134,16
2020,451,18,-,-
2020,325,88,44,44
2020,1083,38,28,10
2020,1397,<10,-,-
2020,328,61,39,22
2020,1144,21,-,-
2020,238,62,49,13
2020,1138,13,-,-
2020,1376,<10,-,-
2020,592,50,-,-
2020,63,49,-,-
2020,560,42,-,-
2020,862,44,25,19
2020,120,84,62,22
2020,590,122,-,-
2020,1075,<10,-,-
2020,1461,60,-,-
2020,1436,<10,-,-
2020,21,<10,-,-
2020,42,42,-,-
2020,719,<10,-,-
2020,1114,<10,-,-
2020,1634,<10,-,-
2020,1433,33,-,-
2020,1396,<10,-,-
2020,250,27,-,-
2020,115,59,48,11
2020,635,<10,-,-
2020,393,72,50,22
2020,574,88,-,-
2020,907,142,105,37
2020,49,65,54,11
2020,974,20,-,-
2020,870,38,19,19
2020,181,11,-,-
2020,355,126,97,29
2020,1230,<10,-,-
2020,714,<10,-,-
2020,1627,19,-,-
2020,725,57,42,15
2020,1136,61,-,-
2020,1188,36,20,16
2020,1298,<10,-,-
2020,1187,44,-,-
2020,1229,<10,-,-
2020,1456,<10,-,-
2020,1552,160,144,16
2020,1494,77,-,-
2020,1115,145,128,17
2020,711,64,51,13
2020,1624,66,44,22
2020,93,73,40,33
2020,422,<10,-,-
2020,632,92,-,-
2020,499,252,242,10
2020,240,34,-,-
2020,881,107,-,-
2020,1622,<10,-,-
2020,1320,525,373,152
2020,425,327,-,-
2020,118,23,-,-
2020,90,103,56,47
2020,434,<10,-,-
2020,1311,140,130,10
2020,163,26,-,-
2020,410,35,-,-
2020,1312,11,-,-
2020,1313,94,47,47
2020,723,70,-,-
2020,274,<10,-,-
2020,528,97,58,39
2020,36,52,-,-
2020,1211,124,45,79
2020,77,45,33,12
2020,131,66,47,19
2020,1525,90,-,-
2020,231,267,235,32
2020,207,299,234,65
2020,959,21,-,-
2020,991,16,-,-
2020,852,154,129,25
2020,952,197,178,19
2020,1329,322,293,29
2020,1206,141,111,30
2020,523,207,136,71
2020,113,25,-,-
2020,577,102,-,-
2020,1197,74,51,23
2020,749,122,97,25
2020,765,434,396,38
2020,760,45,-,-
2020,15,19,-,-
2020,1246,<10,-,-
2020,823,81,-,-
2020,1140,204,181,23
2020,438,27,-,-
2020,314,220,173,47
2020,380,286,-,-
2020,1137,14,-,-
2020,1166,19,-,-
2020,482,214,198,16
2020,269,203,119,84
2020,1593,67,57,10
2020,1065,13,-,-
2020,1368,<10,-,-
2020,985,97,-,-
2020,786,25,-,-
2020,341,275,263,12
2020,186,20,-,-
2020,382,108,-,-
2020,381,71,56,15
2020,1623,78,38,40
2020,1156,205,194,11
2020,1171,447,331,116
2020,851,56,-,-
2020,788,<10,-,-
2020,1108,70,51,19
2020,1365,639,596,43
2020,1089,99,-,-
2020,1392,204,178,26
2020,,64,52,12
2020,888,69,-,-
2020,1371,<10,-,-
2020,460,32,-,-
2020,1438,21,-,-
2020,1339,21,-,-
2020,1216,<10,-,-
2020,1286,121,108,13
2020,1513,294,284,10
2020,1394,12,-,-
2020,1079,31,-,-
2020,1506,169,128,41
2020,943,125,-,-
2020,926,52,36,16
2020,1420,<10,-,-
2020,596,35,-,-
2020,255,211,157,54
2020,157,<10,-,-
2020,597,143,-,-
2020,337,75,-,-
2020,828,44,-,-
2020,1112,78,65,13
2020,58,63,49,14
2020,1287,28,-,-
2020,1101,177,164,13
2020,651,349,-,-
2020,755,105,84,21
2020,1352,53,-,-
2020,539,26,-,-
2020,1170,37,-,-
2020,567,79,-,-
2020,1238,<10,-,-
2020,1296,25,-,-
2020,1505,176,150,26
2020,344,50,40,10
2020,791,102,80,22
2020,1226,10,-,-
2020,1614,<10,-,-
2020,967,<10,-,-
2020,672,60,34,26
2020,1086,45,-,-
2020,584,66,-,-
2020,453,88,-,-
2020,875,93,67,26
2020,1481,<10,-,-
2020,593,65,-,-
2020,71,74,63,11
2020,1639,<10,-,-
2020,57,20,-,-
2020,1625,59,43,16
2020,462,13,-,-
2020,95,67,56,11
2020,979,<10,-,-
2020,38,<10,-,-
2020,555,65,47,18
2020,43,45,-,-
2020,998,<10,-,-
2020,491,<10,-,-
2020,324,74,-,-
2020,1431,<10,-,-
2020,317,99,77,22
2020,361,70,60,10
2020,1387,<10,-,-
2020,251,124,113,11
2020,658,84,-,-
2020,50,85,51,34
2020,1031,<10,-,-
2020,902,1338,302,1036
2020,403,63,-,-
2020,556,60,43,17
2020,375,<10,-,-
2020,467,23,-,-
2020,374,136,77,59
2020,1004,<10,-,-
2020,6,21,-,-
2020,196,31,-,-
2020,617,<10,-,-
2020,580,<10,-,-
2020,1185,52,-,-
2020,720,<10,-,-
2020,1476,<10,-,-
2020,622,<10,-,-
2020,817,312,235,77
2020,1047,55,-,-
2020,1555,204,-,-
2020,258,<10,-,-
2020,1054,169,-,-
2020,1581,<10,-,-
2020,769,185,144,41
2020,1034,73,-,-
2020,864,352,286,66
2020,736,511,397,114
2020,1568,168,-,-
2020,1574,469,459,10
2020,844,188,160,28
2020,470,16,-,-
2020,147,163,107,56
2020,89,110,91,19
2020,861,140,101,39
2020,184,24,-,-
2020,164,<10,-,-
2020,303,295,219,76
2020,1323,26,-,-
2020,431,<10,-,-
2020,806,307,287,20
2020,639,127,112,15
2020,529,46,-,-
2020,481,91,80,11
2020,359,181,123,58
2020,1470,43,-,-
2020,818,179,-,-
2020,1549,326,288,38
2020,893,329,262,67
2020,1595,96,-,-
2020,106,36,-,-
2020,35,65,-,-
2020,772,922,899,23
2020,942,125,-,-
2020,908,45,-,-
2020,616,340,327,13
2020,1168,<10,-,-
2020,761,41,-,-
2020,31,90,75,15
2020,1571,421,-,-
2020,483,102,-,-
2020,833,88,-,-
2020,1212,118,82,36
2020,977,<10,-,-
2020,919,43,-,-
2020,3,<10,-,-
2020,821,184,-,-
2020,796,753,704,49
2020,773,<10,-,-
2020,170,96,80,16
2020,948,20,-,-
2020,502,67,-,-
2020,951,26,-,-
2020,202,<10,-,-
2020,758,363,346,17
2020,121,37,-,-
2020,209,114,86,28
2020,311,269,216,53
2020,839,<10,-,-
2020,561,189,150,39
2020,1348,1072,901,171
2020,537,617,540,77
2020,882,260,193,67
2020,1590,424,274,150
2020,1169,115,84,31
2020,254,113,-,-
2020,1291,25,15,10
2020,1437,100,-,-
2020,463,90,-,-
2020,263,82,-,-
2020,1015,15,-,-
2020,1400,58,33,25
2020,420,72,60,12
2020,1094,28,-,-
2020,565,56,-,-
2020,1591,65,54,11
2020,1271,112,-,-
2020,1020,38,-,-
2020,1508,<10,-,-
2020,64,66,-,-
2020,702,421,276,145
2020,564,243,216,27
2020,1483,<10,-,-
2020,603,37,27,10
2020,1643,79,-,-
2020,1427,116,-,-
2020,1366,417,404,13
2020,72,70,54,16
2020,1527,<10,-,-
2020,500,115,102,13
2020,1175,160,119,41
2020,646,80,-,-
2020,205,111,97,14
2020,28,16,-,-
2020,594,32,-,-
2020,591,68,-,-
2020,222,<10,-,-
2020,1379,<10,-,-
2020,1354,333,275,58
2020,1612,20,-,-
2020,734,510,389,121
2020,284,<10,-,-
2020,642,172,-,-
2020,1516,180,124,56
2020,194,28,15,13
2020,1641,<10,-,-
2020,488,176,140,36
2020,1638,79,-,-
2020,1130,<10,-,-
2020,445,15,-,-
2020,213,17,-,-
2020,458,48,-,-
2020,1336,114,57,57
2020,1292,<10,-,-
2020,504,244,-,-
2020,810,<10,-,-
2020,1616,18,-,-
2020,326,37,-,-
2020,950,<10,-,-
2020,1019,<10,-,-
2020,480,140,99,41
2020,248,97,69,28
2020,1240,<10,-,-
2020,188,<10,-,-
2020,1102,<10,-,-
2020,969,<10,-,-
2020,1122,44,-,-
2020,884,<10,-,-
2020,507,847,707,140
2020,67,104,90,14
2020,1162,<10,-,-
2020,1402,<10,-,-
2020,898,114,91,23
2020,68,59,42,17
2020,1074,<10,-,-
2020,62,<10,-,-
2020,30,81,-,-
2020,52,41,31,10
2020,1072,<10,-,-
2020,739,36,-,-
2020,216,<10,-,-
2020,108,23,-,-
2020,543,454,379,75
2020,1041,<10,-,-
2020,751,94,80,14
2020,718,<10,-,-
2020,682,<10,-,-
2020,649,131,-,-
2020,16,<10,-,-
2020,997,<10,-,-
2020,138,<10,-,-
2020,782,<10,-,-
2020,320,75,62,13
2020,396,124,105,19
2020,853,<10,-,-
2020,1307,<10,-,-
2020,271,41,-,-
2020,996,<10,-,-
2020,909,92,-,-
2020,384,55,-,-
2020,1237,<10,-,-
2020,524,130,91,39
2020,1099,13,-,-
2020,1297,12,-,-
2020,1061,<10,-,-
2020,1294,10,-,-
2020,1289,<10,-,-
2020,1449,<10,-,-
2020,1300,<10,-,-
2020,1504,54,-,-
2020,1164,<10,-,-
2020,1012,13,-,-
2020,804,97,-,-
2020,800,216,197,19
2020,1548,306,284,22
2020,693,158,115,43
2020,686,96,81,15
2020,1220,145,111,34
2020,45,109,88,21
2020,1049,54,-,-
2020,99,113,70,43
2020,1051,<10,-,-
2020,1480,<10,-,-
2020,990,430,391,39
2020,1576,220,196,24
2020,69,161,103,58
2020,242,1239,1058,181
2020,1485,231,-,-
2020,1575,323,298,25
2020,683,27,-,-
2020,628,102,-,-
2020,604,299,251,48
2020,846,223,212,11
2020,149,258,119,139
2020,140,79,-,-
2020,103,110,90,20
2020,75,156,143,13
2020,1319,31,-,-
2020,165,<10,-,-
2020,141,216,169,47
2020,868,79,35,44
2020,527,76,60,16
2020,201,81,68,13
2020,487,403,374,29
2020,109,327,201,126
2020,172,96,70,26
2020,204,199,170,29
2020,992,<10,-,-
2020,1554,175,-,-
2020,1201,149,123,26
2020,1335,286,235,51
2020,1518,23,-,-
2020,1274,120,102,18
2020,91,40,-,-
2020,123,29,-,-
2020,571,48,-,-
2020,220,369,288,81
2020,705,125,-,-
2020,932,631,568,63
2020,783,78,68,10
2020,56,81,-,-
2020,126,89,77,12
2020,278,204,181,23
2020,1260,33,18,15
2020,1521,80,-,-
2020,938,132,96,36
2020,963,73,-,-
2020,1178,260,175,85
2020,315,238,164,74
2020,928,38,15,23
2020,922,248,-,-
2020,885,167,-,-
2020,1281,252,220,32
2020,696,169,128,41
2020,1210,22,-,-
2020,1264,<10,-,-
2020,522,319,209,110
2020,1036,34,-,-
2020,306,<10,-,-
2020,279,<10,-,-
2020,333,98,-,-
2020,309,187,160,27
2020,1609,139,-,-
2020,1017,<10,-,-
2020,367,48,-,-
2020,369,102,75,27
2020,454,35,-,-
2020,1267,168,155,13
2020,939,389,303,86
2020,1117,79,-,-
2020,746,74,61,13
2020,1603,224,203,21
2020,1619,72,-,-
2020,474,73,61,12
2020,321,79,-,-
2020,335,339,295,44
2020,831,419,403,16
2020,286,143,128,15
2020,1129,167,148,19
2020,129,27,-,-
2020,1545,345,316,29
2020,750,314,279,35
2020,850,93,-,-
2020,972,19,-,-
2020,741,514,454,60
2020,657,38,-,-
2020,1458,461,414,47
2020,1621,264,-,-
2020,1275,66,-,-
2020,1637,12,-,-
2020,465,64,-,-
2020,1288,<10,-,-
2020,652,57,-,-
2020,468,255,-,-
2020,894,32,-,-
2020,1378,31,-,-
2020,1193,362,187,175
2020,1367,125,112,13
2020,1345,60,47,13
2020,24,122,-,-
2020,916,133,75,58
2020,633,16,-,-
2020,1439,137,-,-
2020,668,64,36,28
2020,1358,103,75,28
2020,1404,<10,-,-
2020,1218,350,274,76
2020,503,169,-,-
2020,405,14,-,-
2020,447,<10,-,-
2020,246,40,16,24
2020,1141,116,-,-
2020,1419,49,-,-
2020,627,155,-,-
2020,1393,195,156,39
2020,1424,171,138,33
2020,1538,170,-,-
2020,1095,43,27,16
2020,1580,13,-,-
2020,1249,14,-,-
2020,26,84,71,13
2020,1399,<10,-,-
2020,1460,651,557,94
2020,1093,98,83,15
2020,345,72,57,15
2020,904,501,391,110
2020,1029,32,-,-
2020,1204,51,41,10
2020,365,262,157,105
2020,1064,21,-,-
2020,517,71,-,-
2020,743,541,493,48
2020,1060,<10,-,-
2020,811,31,-,-
2020,1604,92,-,-
2020,566,65,-,-
2020,583,17,-,-
2020,1120,<10,-,-
2020,449,37,-,-
2020,1149,68,-,-
2020,1032,16,-,-
2020,866,472,367,105
2020,1455,10,-,-
2020,1005,10,-,-
2020,287,100,-,-
2020,1454,10,-,-
2020,728,49,-,-
2020,353,32,-,-
2020,1340,11,-,-
2020,687,225,184,41
2020,1088,49,-,-
2020,901,<10,-,-
2020,351,145,95,50
2020,899,36,-,-
2020,871,15,-,-
2020,1363,<10,-,-
2020,133,27,-,-
2020,98,48,38,10
2020,73,73,52,21
2020,1440,<10,-,-
2020,119,27,-,-
2020,54,39,-,-
2020,691,36,-,-
2020,665,21,-,-
2020,55,<10,-,-
2020,1631,<10,-,-
2020,697,22,-,-
2020,980,<10,-,-
2020,1119,<10,-,-
2020,245,<10,-,-
2020,721,58,-,-
2020,1370,<10,-,-
2020,1257,<10,-,-
2020,19,10,-,-
2020,9,33,-,-
2020,1070,<10,-,-
2020,370,56,-,-
2020,292,11,-,-
2020,1441,<10,-,-
2020,1448,<10,-,-
2020,227,43,33,10
2020,501,36,-,-
2020,214,13,-,-
2020,10,12,-,-
2020,331,175,128,47
2020,1632,15,-,-
2020,268,25,-,-
2020,1179,27,-,-
2020,185,<10,-,-
2020,1293,<10,-,-
2020,1434,<10,-,-
2020,1174,180,91,89
2020,1142,<10,-,-
2020,161,<10,-,-
2020,1372,<10,-,-
2020,1386,<10,-,-
2020,704,645,551,94
2020,805,138,-,-
2020,1244,336,237,99
2020,421,313,243,70
2020,150,180,31,149
2020,1247,10,-,-
2020,1152,<10,-,-
2020,101,226,188,38
2020,1341,248,191,57
2020,759,471,417,54
2020,754,468,420,48
2020,954,456,360,96
2020,261,13,-,-
2020,1486,<10,-,-
2020,471,125,112,13
2020,636,11,-,-
2020,877,59,-,-
2020,301,92,79,13
2020,698,103,92,11
2020,87,24,-,-
2020,81,75,63,12
2020,117,275,184,91
2020,83,40,-,-
2020,690,23,-,-
2020,585,87,-,-
2020,1308,88,66,22
2020,1334,80,-,-
2020,440,<10,-,-
2020,125,18,-,-
2020,122,73,50,23
2020,1310,88,78,10
2020,152,612,149,463
2020,716,41,-,-
2020,409,73,59,14
2020,137,38,24,14
2020,82,119,90,29
2020,1322,149,110,39
2020,1330,<10,-,-
2020,1317,<10,-,-
2020,724,73,51,22
2020,146,141,111,30
2020,525,85,52,33
2020,13,64,-,-
2020,47,95,66,29
2020,300,282,223,59
2020,343,354,250,104
2020,174,36,-,-
2020,110,49,24,25
2020,270,50,32,18
2020,14,51,-,-
2020,128,46,-,-
2020,267,209,182,27
2020,847,26,-,-
2020,911,424,379,45
2020,842,322,284,38
2020,733,70,54,16
2020,203,11,-,-
2020,1522,57,42,15
2020,1167,<10,-,-
2020,986,273,205,68
2020,953,335,301,34
2020,949,729,686,43
2020,1491,68,56,12
2020,976,12,-,-
2020,845,<10,-,-
2020,1565,135,-,-
2020,80,76,-,-
2020,79,146,132,14
2020,334,248,154,94
2020,1550,235,219,16
2020,887,20,-,-
2020,892,85,-,-
2020,298,105,80,25
2020,1302,388,334,54
2020,78,152,134,18
2020,195,52,27,25
2020,988,85,56,29
2020,1564,89,-,-
2020,789,27,17,10
2020,1145,21,-,-
2020,327,27,-,-
2020,342,59,-,-
2020,475,156,115,41
2020,930,30,-,-
2020,244,18,-,-
2020,533,188,111,77
2020,515,107,95,12
2020,511,30,-,-
2020,377,68,30,38
2020,960,<10,-,-
2020,753,93,-,-
2020,323,144,109,35
2020,336,59,-,-
2020,1479,<10,-,-
2020,485,<10,-,-
2020,74,63,50,13
2020,41,<10,-,-
2020,218,11,-,-
2020,7,20,-,-
2020,1157,142,129,13
2020,379,30,-,-
2020,1044,24,-,-
2020,1559,113,-,-
2020,1343,40,-,-
2020,670,34,-,-
2020,1116,212,188,24
2020,276,107,92,15
2020,424,36,22,14
2020,319,173,155,18
2020,832,398,-,-
2020,490,353,312,41
2020,968,<10,-,-
2020,1452,25,-,-
2020,401,42,-,-
2020,1558,145,-,-
2020,918,114,95,19
2020,1100,<10,-,-
2020,1529,62,39,23
2020,1610,<10,-,-
2020,1517,<10,-,-
2020,1459,500,443,57
2020,1447,20,-,-
2020,848,33,-,-
2020,1236,<10,-,-
2020,1405,<10,-,-
2020,1509,<10,-,-
2020,1606,57,46,11
2020,801,80,64,16
2020,1377,207,159,48
2020,256,24,-,-
2020,508,497,418,79
2020,514,34,-,-
2020,94,30,17,13
2020,1154,55,36,19
2020,455,100,78,22
2020,265,50,-,-
2020,1258,11,-,-
2020,428,21,-,-
2020,406,198,178,20
2020,293,66,48,18
2020,1389,123,-,-
2020,142,18,-,-
2020,964,42,-,-
2020,189,17,-,-
2020,934,135,93,42
2020,588,31,-,-
2020,660,111,-,-
2020,915,80,50,30
2020,1195,143,103,40
2020,544,335,288,47
2020,1541,36,-,-
2020,1183,21,-,-
2020,542,<10,-,-
2020,600,<10,-,-
2020,154,88,26,62
2020,289,28,12,16
2020,756,82,-,-
2020,671,21,-,-
2020,25,86,73,13
2020,376,406,271,135
2020,1196,124,77,47
2020,398,65,-,-
2020,145,59,27,32
2020,253,15,-,-
2020,20,79,49,30
2020,878,53,-,-
2020,740,186,170,16
2020,1326,51,-,-
2020,211,27,-,-
2020,1467,20,-,-
2020,559,<10,-,-
2020,228,81,71,10
2020,715,29,-,-
2020,945,75,65,10
2020,669,<10,-,-
2020,1273,<10,-,-
2020,86,17,-,-
2020,23,29,-,-
2020,497,74,-,-
2020,966,<10,-,-
2020,111,<10,-,-
2020,867,<10,-,-
2020,461,<10,-,-
2020,1375,<10,-,-
2020,241,61,49,12
2020,1056,<10,-,-
2020,363,53,-,-
2020,395,76,65,11
2020,573,47,-,-
2020,399,31,20,11
2020,1362,<10,-,-
2020,610,<10,-,-
2020,1446,<10,-,-
2020,1256,<10,-,-
2020,1629,10,-,-
2020,1633,17,-,-
2020,1630,56,-,-
2020,262,<10,-,-
2020,259,<10,-,-
2020,849,23,-,-
2020,630,31,-,-
2020,1283,<10,-,-
2020,970,<10,-,-
2020,1053,<10,-,-
2020,1084,<10,-,-
2020,1466,<10,-,-
2020,1373,<10,-,-
2020,717,<10,-,-
2020,872,27,-,-
2020,706,141,130,11
2020,235,1848,1671,177
2020,1644,26,-,-
2020,1495,33,-,-
2020,731,159,94,65
2020,427,16,-,-
2020,1572,203,-,-
2020,819,230,214,16
2020,826,252,-,-
2020,296,289,175,114
2020,654,347,337,10
2020,297,25,-,-
2020,770,37,-,-
2020,653,281,-,-
2020,414,123,102,21
2020,412,339,-,-
2020,1533,<10,-,-
2020,803,112,-,-
2020,824,20,-,-
2020,575,241,-,-
2020,433,94,63,31
2020,1318,173,106,67
2020,439,19,-,-
2020,448,85,73,12
2020,459,187,-,-
2020,302,111,88,23
2020,307,109,-,-
2020,304,80,56,24
2020,1560,221,189,32
2020,1561,544,458,86
2020,685,97,83,14
2020,224,<10,-,-
2020,1342,41,19,22
2020,233,511,437,74
2020,92,410,252,158
2020,450,81,-,-
2020,1507,36,14,22
2020,957,372,328,44
2020,931,370,357,13
2020,1487,199,180,19
2020,60,139,91,48
2020,1277,824,764,60
2020,1579,174,-,-
2020,748,327,286,41
2020,107,72,47,25
2020,234,1033,909,124
2020,752,106,-,-
2020,710,36,-,-
2020,1207,595,401,194
2020,1013,42,-,-
2020,1556,89,-,-
2020,1160,110,-,-
2020,1043,47,-,-
2020,589,86,-,-
2020,1328,195,-,-
2020,695,319,244,75
2020,187,<10,-,-
2020,1,747,379,368
2020,624,315,296,19
2020,1035,262,-,-
2020,886,16,-,-
2020,1037,22,-,-
2020,1189,955,634,321
2020,532,61,-,-
2020,390,16,-,-
2020,4,<10,-,-
2020,1553,100,-,-
2020,215,28,18,10
2020,112,114,89,25
