ANNO;ID_SEZIONE_CENSIMENTO_ISTAT;TOT_RESIDENTI;TOT_RESIDENTI_ITALIANI;TOT_RESIDENTI_STRANIERI
2018;842;319;281;38
2018;296;280;184;96
2018;343;359;254;105
2018;628;101;-;-
2018;1171;460;335;125
2018;286;135;123;12
2018;1262;21;-;-
2018;271;37;-;-
2018;1531;163;152;11
2018;197;66;50;16
2018;1477;52;-;-
2018;130;<10;-;-
2018;282;30;-;-
2018;1166;14;-;-
2018;621;92;-;-
2018;390;16;-;-
2018;1224;16;-;-
2018;976;<10;-;-
2018;1011;<10;-;-
2018;1364;386;347;39
2018;1336;117;58;59
2018;936;106;68;38
2018;1001;130;101;29
2018;1529;49;36;13
2018;1093;87;75;12
2018;1374;107;66;41
2018;897;71;-;-
2018;1204;55;-;-
2018;895;19;-;-
2018;5;32;-;-
2018;238;67;51;16
2018;1247;17;-;-
2018;903;<10;-;-
2018;655;39;-;-
2018;1095;41;31;10
2018;1218;336;270;66
2018;1235;13;-;-
2018;1595;98;-;-
2018;289;29;15;14
2018;717;<10;-;-
2018;283;<10;-;-
2018;48;22;-;-
2018;1052;86;-;-
2018;872;30;-;-
2018;166;19;-;-
2018;1104;<10;-;-
2018;331;163;123;40
2018;636;12;-;-
2018;239;71;-;-
2018;1294;10;-;-
2018;274;<10;-;-
2018;519;118;-;-
2018;566;76;-;-
2018;263;73;-;-
2018;1079;31;-;-
2018;873;489;166;323
2018;1223;<10;-;-
2018;587;71;-;-
2018;400;38;-;-
2018;593;58;-;-
2018;60;152;89;63
2018;1363;<10;-;-
2018;1279;383;330;53
2018;901;<10;-;-
2018;456;<10;-;-
2018;556;56;45;11
2018;554;23;-;-
2018;393;77;59;18
2018;974;20;-;-
2018;245;<10;-;-
2018;397;80;-;-
2018;573;48;-;-
2018;889;17;-;-
2018;1071;<10;-;-
2018;793;10;-;-
2018;1153;<10;-;-
2018;853;<10;-;-
2018;349;59;48;11
2018;171;29;-;-
2018;262;<10;-;-
2018;180;38;24;14
2018;1230;<10;-;-
2018;350;95;69;26
2018;106;36;-;-
2018;188;<10;-;-
2018;230;175;-;-
2018;156;122;61;61
2018;387;68;-;-
2018;336;60;-;-
2018;203;<10;-;-
2018;191;29;14;15
2018;218;11;-;-
2018;750;317;281;36
2018;206;192;166;26
2018;645;88;-;-
2018;919;45;-;-
2018;639;120;110;10
2018;759;456;417;39
2018;1048;189;-;-
2018;841;87;-;-
2018;1561;576;475;101
2018;833;89;-;-
2018;807;303;283;20
2018;1593;71;58;13
2018;941;128;114;14
2018;1577;488;471;17
2018;412;349;-;-
2018;1585;262;-;-
2018;29;28;-;-
2018;278;202;179;23
2018;1558;147;137;10
2018;1275;67;-;-
2018;856;186;161;25
2018;307;101;-;-
2018;186;24;14;10
2018;862;41;31;10
2018;1495;37;-;-
2018;150;182;31;151
2018;844;186;160;26
2018;205;107;95;12
2018;792;211;199;12
2018;454;36;-;-
2018;1580;16;-;-
2018;1378;25;-;-
2018;159;<10;-;-
2018;806;319;300;19
2018;1470;43;-;-
2018;351;138;98;40
2018;1043;52;-;-
2018;836;102;-;-
2018;1113;19;-;-
2018;926;51;36;15
2018;183;103;60;43
2018;1631;<10;-;-
2018;460;47;-;-
2018;1496;86;-;-
2018;761;39;-;-
2018;650;249;-;-
2018;949;720;693;27
2018;762;48;-;-
2018;82;116;85;31
2018;1332;17;-;-
2018;1312;11;-;-
2018;499;279;268;11
2018;977;<10;-;-
2018;431;<10;-;-
2018;921;155;140;15
2018;21;<10;-;-
2018;425;319;-;-
2018;557;63;50;13
2018;787;33;20;13
2018;922;252;-;-
2018;321;73;-;-
2018;929;12;-;-
2018;571;50;-;-
2018;753;97;-;-
2018;835;<10;-;-
2018;101;230;190;40
2018;966;<10;-;-
2018;177;45;-;-
2018;795;194;-;-
2018;69;157;100;57
2018;1000;<10;-;-
2018;474;75;61;14
2018;442;25;-;-
2018;440;<10;-;-
2018;1608;91;-;-
2018;516;54;-;-
2018;522;335;219;116
2018;90;100;52;48
2018;434;<10;-;-
2018;96;13;-;-
2018;1129;167;149;18
2018;1119;<10;-;-
2018;846;228;-;-
2018;121;39;-;-
2018;385;39;-;-
2018;1599;<10;-;-
2018;1137;14;-;-
2018;1225;<10;-;-
2018;515;109;95;14
2018;604;302;256;46
2018;1592;139;100;39
2018;301;96;85;11
2018;394;652;600;52
2018;195;57;31;26
2018;372;87;-;-
2018;15;17;-;-
2018;134;161;81;80
2018;527;73;62;11
2018;513;45;-;-
2018;484;70;52;18
2018;972;19;-;-
2018;277;183;172;11
2018;1045;<10;-;-
2018;31;84;67;17
2018;112;110;83;27
2018;1491;57;-;-
2018;1480;<10;-;-
2018;1567;163;148;15
2018;1266;161;142;19
2018;589;84;-;-
2018;1158;13;-;-
2018;1002;475;432;43
2018;1452;25;-;-
2018;281;507;451;56
2018;1354;357;297;60
2018;684;181;146;35
2018;606;194;174;20
2018;1149;77;-;-
2018;1494;81;-;-
2018;1646;49;-;-
2018;1077;77;63;14
2018;627;158;-;-
2018;535;228;124;104
2018;1196;112;75;37
2018;1385;111;-;-
2018;1464;<10;-;-
2018;1381;92;72;20
2018;1394;12;-;-
2018;508;512;427;85
2018;680;74;43;31
2018;236;79;55;24
2018;25;86;-;-
2018;1337;191;144;47
2018;1027;<10;-;-
2018;1321;193;134;59
2018;1439;137;-;-
2018;299;42;32;10
2018;934;137;89;48
2018;1345;56;44;12
2018;888;71;-;-
2018;1597;<10;-;-
2018;657;43;-;-
2018;1301;128;114;14
2018;1012;13;-;-
2018;845;<10;-;-
2018;1187;38;-;-
2018;292;11;-;-
2018;728;54;-;-
2018;1523;41;-;-
2018;1505;171;150;21
2018;1350;69;-;-
2018;1323;27;-;-
2018;740;192;179;13
2018;725;64;49;15
2018;1154;52;35;17
2018;876;23;-;-
2018;718;<10;-;-
2018;1139;<10;-;-
2018;415;46;-;-
2018;784;57;-;-
2018;1418;<10;-;-
2018;827;<10;-;-
2018;1165;<10;-;-
2018;1164;<10;-;-
2018;1142;<10;-;-
2018;1084;<10;-;-
2018;320;78;64;14
2018;905;19;-;-
2018;1216;<10;-;-
2018;1517;<10;-;-
2018;1594;32;-;-
2018;1401;<10;-;-
2018;1258;<10;-;-
2018;405;16;-;-
2018;679;34;-;-
2018;1016;<10;-;-
2018;596;29;-;-
2018;66;31;21;10
2018;229;245;185;60
2018;27;<10;-;-
2018;534;49;-;-
2018;559;<10;-;-
2018;1326;68;13;55
2018;1072;<10;-;-
2018;1461;79;68;11
2018;19;<10;-;-
2018;396;115;99;16
2018;1031;<10;-;-
2018;1441;<10;-;-
2018;580;<10;-;-
2018;1051;<10;-;-
2018;389;<10;-;-
2018;622;<10;-;-
2018;257;<10;-;-
2018;1039;18;-;-
2018;487;392;363;29
2018;1209;121;45;76
2018;1206;134;98;36
2018;267;201;175;26
2018;938;112;86;26
2018;449;37;-;-
2018;288;<10;-;-
2018;1550;250;235;15
2018;1516;179;129;50
2018;1539;250;238;12
2018;1617;57;-;-
2018;1087;219;205;14
2018;852;139;122;17
2018;882;271;191;80
2018;1021;<10;-;-
2018;1569;449;433;16
2018;312;77;-;-
2018;732;123;96;27
2018;1526;393;-;-
2018;547;199;180;19
2018;1098;90;-;-
2018;247;276;235;41
2018;1357;125;115;10
2018;564;255;231;24
2018;1606;52;42;10
2018;1447;21;-;-
2018;380;298;-;-
2018;811;37;-;-
2018;829;420;-;-
2018;1568;161;-;-
2018;316;134;50;84
2018;194;27;14;13
2018;526;10;-;-
2018;824;18;-;-
2018;1308;84;65;19
2018;483;100;-;-
2018;1549;342;310;32
2018;1450;43;26;17
2018;1582;<10;-;-
2018;826;262;-;-
2018;131;66;51;15
2018;1644;26;-;-
2018;141;242;191;51
2018;818;162;152;10
2018;45;56;-;-
2018;145;70;29;41
2018;752;112;-;-
2018;760;44;-;-
2018;771;81;-;-
2018;992;<10;-;-
2018;1124;102;89;13
2018;1603;237;215;22
2018;1515;114;-;-
2018;305;393;256;137
2018;1314;42;-;-
2018;980;<10;-;-
2018;979;<10;-;-
2018;462;12;-;-
2018;359;174;129;45
2018;1108;66;44;22
2018;952;205;186;19
2018;1623;85;53;32
2018;23;30;-;-
2018;701;43;32;11
2018;1029;32;-;-
2018;1018;60;38;22
2018;103;108;88;20
2018;1311;134;-;-
2018;302;101;89;12
2018;1325;197;166;31
2018;681;34;21;13
2018;1318;188;112;76
2018;925;15;-;-
2018;40;65;51;14
2018;204;199;174;25
2018;444;<10;-;-
2018;441;17;-;-
2018;435;<10;-;-
2018;546;89;75;14
2018;756;84;-;-
2018;164;<10;-;-
2018;550;239;224;15
2018;1;485;262;223
2018;136;21;-;-
2018;562;80;-;-
2018;997;<10;-;-
2018;1220;134;103;31
2018;815;15;-;-
2018;808;66;-;-
2018;202;<10;-;-
2018;13;57;-;-
2018;242;1256;1094;162
2018;114;140;110;30
2018;1501;466;440;26
2018;1499;<10;-;-
2018;993;<10;-;-
2018;438;30;-;-
2018;1227;<10;-;-
2018;1579;156;-;-
2018;478;17;-;-
2018;1157;124;105;19
2018;108;29;-;-
2018;409;77;62;15
2018;1589;<10;-;-
2018;4;<10;-;-
2018;731;156;104;52
2018;937;30;-;-
2018;1386;<10;-;-
2018;358;157;119;38
2018;910;<10;-;-
2018;1468;12;-;-
2018;1360;57;-;-
2018;1128;135;123;12
2018;1099;13;-;-
2018;1195;137;102;35
2018;1604;97;-;-
2018;967;<10;-;-
2018;1343;41;-;-
2018;1624;69;46;23
2018;601;14;-;-
2018;1432;138;126;12
2018;1019;<10;-;-
2018;1020;43;-;-
2018;1007;<10;-;-
2018;1537;73;63;10
2018;866;459;356;103
2018;1183;21;-;-
2018;1438;21;-;-
2018;1398;12;-;-
2018;1234;<10;-;-
2018;641;34;-;-
2018;363;53;-;-
2018;67;120;104;16
2018;891;25;-;-
2018;57;17;-;-
2018;365;240;152;88
2018;1541;34;-;-
2018;1203;118;57;61
2018;1049;61;51;10
2018;413;147;130;17
2018;1136;61;-;-
2018;94;33;17;16
2018;167;42;31;11
2018;1297;11;-;-
2018;1289;<10;-;-
2018;871;10;-;-
2018;904;505;403;102
2018;165;<10;-;-
2018;820;<10;-;-
2018;1299;<10;-;-
2018;585;89;79;10
2018;509;195;153;42
2018;809;<10;-;-
2018;1601;22;-;-
2018;1327;61;49;12
2018;1240;<10;-;-
2018;1638;86;-;-
2018;429;20;-;-
2018;1616;19;-;-
2018;1202;89;79;10
2018;1340;13;-;-
2018;520;141;103;38
2018;1024;<10;-;-
2018;896;<10;-;-
2018;63;56;-;-
2018;168;58;45;13
2018;898;115;94;21
2018;715;27;-;-
2018;1626;21;-;-
2018;1436;<10;-;-
2018;602;35;-;-
2018;1510;166;-;-
2018;427;22;-;-
2018;338;29;-;-
2018;970;<10;-;-
2018;906;49;35;14
2018;1070;<10;-;-
2018;1243;<10;-;-
2018;1488;10;-;-
2018;713;<10;-;-
2018;330;71;39;32
2018;1362;<10;-;-
2018;696;184;138;46
2018;501;34;-;-
2018;1535;339;299;40
2018;220;353;278;75
2018;528;99;58;41
2018;482;230;203;27
2018;335;329;296;33
2018;333;103;-;-
2018;538;84;-;-
2018;91;33;-;-
2018;541;32;-;-
2018;599;55;-;-
2018;918;106;90;16
2018;914;194;148;46
2018;459;196;-;-
2018;788;<10;-;-
2018;1412;<10;-;-
2018;1547;266;233;33
2018;741;516;462;54
2018;850;89;-;-
2018;840;10;-;-
2018;661;114;-;-
2018;1502;291;134;157
2018;854;381;352;29
2018;1324;244;163;81
2018;943;138;-;-
2018;831;470;448;22
2018;1605;138;122;16
2018;1543;93;-;-
2018;1191;686;414;272
2018;848;36;-;-
2018;1576;220;193;27
2018;1600;38;-;-
2018;804;88;78;10
2018;1141;118;-;-
2018;1189;976;633;343
2018;764;29;-;-
2018;1131;23;-;-
2018;1542;101;-;-
2018;1182;708;538;170
2018;1365;676;613;63
2018;1197;77;62;15
2018;199;117;100;17
2018;366;41;26;15
2018;1322;148;120;28
2018;892;86;-;-
2018;;60;-;-
2018;1040;82;-;-
2018;265;56;-;-
2018;1173;254;133;121
2018;1212;135;101;34
2018;767;264;242;22
2018;677;43;-;-
2018;124;134;113;21
2018;123;33;-;-
2018;76;46;-;-
2018;716;42;-;-
2018;703;269;242;27
2018;751;93;83;10
2018;543;453;375;78
2018;734;500;385;115
2018;693;169;124;45
2018;34;70;57;13
2018;72;71;61;10
2018;1485;235;-;-
2018;823;81;-;-
2018;1080;104;-;-
2018;152;577;157;420
2018;798;134;-;-
2018;500;114;101;13
2018;746;72;-;-
2018;706;138;128;10
2018;982;43;-;-
2018;978;17;-;-
2018;88;74;63;11
2018;44;145;99;46
2018;697;20;-;-
2018;42;45;-;-
2018;768;<10;-;-
2018;803;122;109;13
2018;801;84;69;15
2018;486;<10;-;-
2018;948;20;-;-
2018;1118;<10;-;-
2018;1125;31;-;-
2018;1260;38;21;17
2018;673;36;-;-
2018;687;225;177;48
2018;492;<10;-;-
2018;491;<10;-;-
2018;1114;<10;-;-
2018;1556;91;-;-
2018;774;<10;-;-
2018;38;10;-;-
2018;127;113;91;22
2018;674;38;-;-
2018;530;76;52;24
2018;79;137;126;11
2018;43;39;-;-
2018;447;<10;-;-
2018;1111;40;-;-
2018;816;47;-;-
2018;232;895;754;141
2018;991;15;-;-
2018;99;128;76;52
2018;1564;93;-;-
2018;532;53;-;-
2018;210;248;222;26
2018;623;291;-;-
2018;1145;23;-;-
2018;174;38;-;-
2018;1211;141;41;100
2018;959;22;-;-
2018;1522;52;-;-
2018;911;435;383;52
2018;912;1098;873;225
2018;356;64;41;23
2018;626;195;-;-
2018;1066;24;-;-
2018;93;81;45;36
2018;273;119;105;14
2018;172;99;71;28
2018;1342;53;22;31
2018;1507;40;19;21
2018;1176;112;80;32
2018;1525;93;-;-
2018;858;68;-;-
2018;47;109;74;35
2018;773;<10;-;-
2018;790;52;41;11
2018;251;122;-;-
2018;233;534;465;69
2018;1313;98;54;44
2018;379;27;-;-
2018;733;67;54;13
2018;625;50;31;19
2018;916;128;76;52
2018;689;86;-;-
2018;1105;25;-;-
2018;243;59;-;-
2018;1560;211;182;29
2018;1101;179;169;10
2018;576;<10;-;-
2018;588;30;-;-
2018;148;273;198;75
2018;1352;57;47;10
2018;1403;<10;-;-
2018;1261;136;110;26
2018;1100;<10;-;-
2018;1419;58;-;-
2018;913;388;307;81
2018;1448;<10;-;-
2018;1194;180;152;28
2018;613;16;-;-
2018;582;45;-;-
2018;458;53;-;-
2018;59;128;96;32
2018;411;104;-;-
2018;1063;10;-;-
2018;968;<10;-;-
2018;875;98;75;23
2018;303;304;218;86
2018;1645;54;42;12
2018;870;32;14;18
2018;630;28;-;-
2018;1290;11;-;-
2018;1463;10;-;-
2018;1533;<10;-;-
2018;1372;<10;-;-
2018;1058;<10;-;-
2018;1282;16;-;-
2018;1075;<10;-;-
2018;254;117;106;11
2018;1405;<10;-;-
2018;337;81;-;-
2018;1371;<10;-;-
2018;536;402;279;123
2018;8;31;-;-
2018;208;51;41;10
2018;563;50;-;-
2018;62;<10;-;-
2018;253;13;-;-
2018;1625;50;40;10
2018;395;85;63;22
2018;955;91;76;15
2018;374;132;76;56
2018;375;<10;-;-
2018;958;<10;-;-
2018;722;57;29;28
2018;617;<10;-;-
2018;794;80;70;10
2018;1057;<10;-;-
2018;635;<10;-;-
2018;115;63;52;11
2018;361;80;-;-
2018;1152;<10;-;-
2018;714;<10;-;-
2018;1627;19;-;-
2018;9;36;-;-
2018;259;<10;-;-
2018;1632;20;-;-
2018;503;174;-;-
2018;260;10;-;-
2018;485;<10;-;-
2018;113;27;-;-
2018;346;57;-;-
2018;494;194;154;40
2018;632;93;-;-
2018;633;13;-;-
2018;647;21;-;-
2018;217;137;-;-
2018;648;109;-;-
2018;772;891;867;24
2018;1563;172;159;13
2018;1221;406;359;47
2018;990;440;405;35
2018;1015;17;-;-
2018;1392;191;163;28
2018;819;236;219;17
2018;437;15;-;-
2018;932;735;636;99
2018;1546;208;197;11
2018;1358;100;77;23
2018;800;230;213;17
2018;1551;124;-;-
2018;1520;89;-;-
2018;298;112;89;23
2018;757;135;123;12
2018;1226;10;-;-
2018;1573;380;369;11
2018;1562;186;-;-
2018;1348;1155;976;179
2018;1552;167;150;17
2018;455;95;73;22
2018;1544;54;-;-
2018;1341;246;186;60
2018;1054;165;-;-
2018;985;106;-;-
2018;1508;<10;-;-
2018;954;457;358;99
2018;1393;201;161;40
2018;1107;178;160;18
2018;995;109;92;17
2018;893;315;258;57
2018;1602;543;490;53
2018;144;41;-;-
2018;1192;183;65;118
2018;496;662;595;67
2018;586;104;-;-
2018;269;206;133;73
2018;796;759;707;52
2018;711;63;52;11
2018;83;41;-;-
2018;749;136;106;30
2018;548;170;131;39
2018;698;103;-;-
2018;561;184;151;33
2018;744;68;56;12
2018;364;246;182;64
2018;1122;50;-;-
2018;84;161;122;39
2018;1338;238;159;79
2018;802;31;-;-
2018;1578;319;-;-
2018;433;100;58;42
2018;946;33;-;-
2018;87;26;-;-
2018;33;36;-;-
2018;470;16;-;-
2018;551;227;196;31
2018;928;45;15;30
2018;877;51;-;-
2018;834;57;-;-
2018;1571;392;-;-
2018;799;62;-;-
2018;1132;<10;-;-
2018;98;53;-;-
2018;988;78;59;19
2018;675;62;-;-
2018;120;91;66;25
2018;1030;24;-;-
2018;176;59;32;27
2018;78;153;133;20
2018;1333;137;-;-
2018;401;44;-;-
2018;179;29;-;-
2018;691;43;-;-
2018;1110;<10;-;-
2018;386;281;224;57
2018;570;21;-;-
2018;1201;156;129;27
2018;1135;75;53;22
2018;1037;21;-;-
2018;1248;26;11;15
2018;1329;341;313;28
2018;1233;20;-;-
2018;224;<10;-;-
2018;37;<10;-;-
2018;529;52;-;-
2018;685;93;81;12
2018;92;417;259;158
2018;170;105;93;12
2018;309;193;164;29
2018;531;<10;-;-
2018;280;290;236;54
2018;187;10;-;-
2018;261;11;-;-
2018;1168;<10;-;-
2018;1534;48;-;-
2018;511;33;-;-
2018;847;28;-;-
2018;712;253;193;60
2018;475;156;114;42
2018;234;1081;957;124
2018;477;61;-;-
2018;129;32;20;12
2018;1046;12;-;-
2018;874;157;65;92
2018;182;17;-;-
2018;1509;<10;-;-
2018;1076;80;70;10
2018;1073;<10;-;-
2018;313;277;168;109
2018;651;360;-;-
2018;553;26;-;-
2018;1102;<10;-;-
2018;1092;67;52;15
2018;1086;38;-;-
2018;1377;201;152;49
2018;1222;57;46;11
2018;738;294;219;75
2018;1455;15;-;-
2018;1010;142;120;22
2018;248;99;72;27
2018;1143;13;-;-
2018;671;24;-;-
2018;1361;57;-;-
2018;879;81;-;-
2018;1257;<10;-;-
2018;743;537;483;54
2018;398;63;-;-
2018;726;523;384;139
2018;407;154;144;10
2018;791;129;108;21
2018;328;64;39;25
2018;1359;37;-;-
2018;810;<10;-;-
2018;1096;<10;-;-
2018;1351;73;62;11
2018;723;72;-;-
2018;1504;59;-;-
2018;1174;193;108;85
2018;1185;43;33;10
2018;1188;35;22;13
2018;719;<10;-;-
2018;26;86;73;13
2018;1467;24;-;-
2018;1330;<10;-;-
2018;1061;<10;-;-
2018;1296;27;-;-
2018;720;<10;-;-
2018;1300;<10;-;-
2018;1298;<10;-;-
2018;428;23;-;-
2018;542;<10;-;-
2018;1443;14;-;-
2018;1637;12;-;-
2018;1303;<10;-;-
2018;28;15;-;-
2018;406;197;180;17
2018;493;24;-;-
2018;1038;17;-;-
2018;30;72;-;-
2018;65;14;-;-
2018;1596;28;-;-
2018;1481;<10;-;-
2018;669;<10;-;-
2018;1384;<10;-;-
2018;1237;<10;-;-
2018;371;116;98;18
2018;370;47;36;11
2018;1004;<10;-;-
2018;962;<10;-;-
2018;373;53;24;29
2018;907;161;122;39
2018;354;122;99;23
2018;1430;<10;-;-
2018;1446;<10;-;-
2018;610;<10;-;-
2018;360;99;69;30
2018;241;63;53;10
2018;461;<10;-;-
2018;730;62;-;-
2018;1633;15;-;-
2018;1207;583;408;175
2018;1208;96;78;18
2018;190;38;24;14
2018;504;258;-;-
2018;502;71;-;-
2018;329;167;110;57
2018;327;33;-;-
2018;539;23;-;-
2018;221;<10;-;-
2018;207;305;247;58
2018;634;169;156;13
2018;468;266;-;-
2018;1528;239;229;10
2018;1572;216;206;10
2018;1618;357;281;76
2018;1356;94;-;-
2018;276;107;94;13
2018;318;86;53;33
2018;578;771;756;15
2018;1286;122;104;18
2018;231;302;250;52
2018;1555;223;-;-
2018;786;26;-;-
2018;1565;128;-;-
2018;244;17;-;-
2018;448;84;69;15
2018;1355;123;96;27
2018;1309;226;-;-
2018;1554;177;-;-
2018;1422;233;199;34
2018;1236;<10;-;-
2018;1155;35;-;-
2018;314;236;180;56
2018;1492;<10;-;-
2018;1557;112;91;21
2018;1460;688;569;119
2018;999;<10;-;-
2018;11;65;-;-
2018;146;138;111;27
2018;1117;80;-;-
2018;927;<10;-;-
2018;178;16;-;-
2018;36;55;44;11
2018;89;108;91;17
2018;864;365;307;58
2018;770;41;31;10
2018;545;101;78;23
2018;1022;43;-;-
2018;942;128;-;-
2018;947;19;-;-
2018;452;188;-;-
2018;118;24;-;-
2018;154;81;33;48
2018;163;27;-;-
2018;998;<10;-;-
2018;783;88;77;11
2018;122;86;65;21
2018;745;91;-;-
2018;707;609;424;185
2018;319;181;156;25
2018;987;23;-;-
2018;1109;16;-;-
2018;414;119;99;20
2018;81;74;63;11
2018;1406;26;-;-
2018;702;424;294;130
2018;594;29;-;-
2018;662;28;-;-
2018;945;69;-;-
2018;676;20;-;-
2018;80;83;72;11
2018;1112;78;61;17
2018;782;<10;-;-
2018;97;288;81;207
2018;1210;18;-;-
2018;989;<10;-;-
2018;1334;89;-;-
2018;1035;265;255;10
2018;863;584;471;113
2018;577;98;-;-
2018;1013;44;-;-
2018;1245;19;-;-
2018;695;331;234;97
2018;523;214;155;59
2018;116;184;141;43
2018;495;116;-;-
2018;908;46;-;-
2018;1514;25;-;-
2018;1178;249;174;75
2018;521;104;87;17
2018;951;29;-;-
2018;1512;10;-;-
2018;1503;41;-;-
2018;510;11;-;-
2018;656;22;-;-
2018;1588;<10;-;-
2018;859;13;-;-
2018;1619;75;-;-
2018;1276;20;-;-
2018;1089;94;-;-
2018;631;45;31;14
2018;1367;140;114;26
2018;678;51;-;-
2018;157;<10;-;-
2018;1366;427;410;17
2018;1388;229;207;22
2018;480;131;96;35
2018;1349;29;-;-
2018;1376;<10;-;-
2018;1278;39;24;15
2018;1459;512;454;58
2018;1407;<10;-;-
2018;1435;41;-;-
2018;1454;24;-;-
2018;969;<10;-;-
2018;1397;<10;-;-
2018;105;88;65;23
2018;1085;36;-;-
2018;1163;35;-;-
2018;1462;29;-;-
2018;917;107;-;-
2018;1347;11;-;-
2018;1614;<10;-;-
2018;344;50;-;-
2018;304;85;62;23
2018;1184;50;-;-
2018;403;74;-;-
2018;362;107;84;23
2018;1162;<10;-;-
2018;1584;22;-;-
2018;1144;20;-;-
2018;1581;<10;-;-
2018;1613;<10;-;-
2018;410;35;-;-
2018;1200;124;100;24
2018;139;71;58;13
2018;724;69;53;16
2018;297;32;-;-
2018;51;101;79;22
2018;881;109;-;-
2018;1449;<10;-;-
2018;1434;<10;-;-
2018;690;26;-;-
2018;240;34;-;-
2018;184;21;-;-
2018;838;13;-;-
2018;867;<10;-;-
2018;849;23;-;-
2018;1265;26;-;-
2018;1287;33;-;-
2018;1295;<10;-;-
2018;246;43;17;26
2018;1379;<10;-;-
2018;1635;56;-;-
2018;961;<10;-;-
2018;583;16;-;-
2018;591;66;-;-
2018;58;72;57;15
2018;1590;436;287;149
2018;432;16;-;-
2018;1643;81;-;-
2018;1610;<10;-;-
2018;600;<10;-;-
2018;568;81;70;11
2018;284;<10;-;-
2018;451;20;-;-
2018;581;184;159;25
2018;598;90;68;22
2018;423;37;-;-
2018;878;57;-;-
2018;1074;<10;-;-
2018;592;52;-;-
2018;216;<10;-;-
2018;1457;65;45;20
2018;61;24;13;11
2018;348;128;107;21
2018;609;30;-;-
2018;1440;<10;-;-
2018;899;43;-;-
2018;1445;13;-;-
2018;560;44;-;-
2018;228;81;-;-
2018;1082;<10;-;-
2018;658;83;-;-
2018;721;53;-;-
2018;399;26;-;-
2018;1003;<10;-;-
2018;1387;<10;-;-
2018;1433;36;-;-
2018;404;22;-;-
2018;1272;<10;-;-
2018;909;94;-;-
2018;775;<10;-;-
2018;1396;<10;-;-
2018;709;37;-;-
2018;971;<10;-;-
2018;1629;<10;-;-
2018;49;69;54;15
2018;275;46;-;-
2018;100;32;-;-
2018;729;12;-;-
2018;1630;53;-;-
2018;325;96;50;46
2018;340;110;90;20
2018;347;83;53;30
2018;212;181;133;48
2018;214;13;-;-
2018;1506;161;132;29
2018;323;142;110;32
2018;342;65;-;-
2018;107;66;42;24
2018;270;48;34;14
2018;624;295;269;26
2018;629;151;140;11
2018;464;541;522;19
2018;506;646;618;28
2018;595;128;-;-
2018;311;265;213;52
2018;616;348;-;-
2018;417;91;-;-
2018;1458;520;478;42
2018;1621;264;-;-
2018;923;995;867;128
2018;1538;169;159;10
2018;1566;190;-;-
2018;797;966;954;12
2018;1641;<10;-;-
2018;1264;<10;-;-
2018;1346;86;-;-
2018;1285;42;-;-
2018;117;270;178;92
2018;235;1854;1681;173
2018;843;261;-;-
2018;1559;119;-;-
2018;249;886;768;118
2018;1570;396;381;15
2018;2;91;64;27
2018;1413;183;161;22
2018;20;81;52;29
2018;310;238;218;20
