;;2008 - 2010;2011 - 2013;2014 - 2015;2016 - 2017;2018 - 2019;2020 - 2021;2022 - 2023;FINO AL 2007;NON DEFINITO;Somma:
RIMINI;BELLARIA IGEA MARINA;2.348;1.806;1.204;1.579;1.607;1.215;1.200;6.738;9;17.706
RIMINI;CASTELDELCI;54;27;21;31;34;24;16;242;-;449
RIMINI;CATTOLICA;2.099;1.536;1.121;1.479;1.606;1.114;1.164;6.477;10;16.606
RIMINI;CORIANO;1.481;1.131;806;1.080;1.105;878;943;4.284;4;11.712
RIMINI;GEMMANO;152;100;66;68;84;57;66;718;-;1.311
RIMINI;MAIOLO;127;65;47;65;46;59;47;378;-;834
RIMINI;MISANO ADRIATICO;1.910;1.386;1.053;1.337;1.398;1.106;1.116;5.438;10;14.754
RIMINI;MONDAINO;185;122;87;104;119;84;54;712;-;1.467
RIMINI;MONTECOPIOLO;135;88;52;74;61;47;46;664;2;1.169
RIMINI;MONTEFIORE CONCA;294;208;148;191;235;153;141;1.029;1;2.400
RIMINI;MONTEGRIDOLFO;154;92;71;83;91;64;55;485;1;1.096
RIMINI;MONTESCUDO-MONTE COLOMBO;874;618;427;548;626;436;474;2.601;-;6.604
RIMINI;MORCIANO DI ROMAGNA;908;670;466;666;643;450;471;2.622;2;6.898
RIMINI;NON DEFINITO RN;-;-;-;-;-;-;-;3;-;3
RIMINI;NOVAFELTRIA;844;621;470;563;597;415;351;2.925;-;6.786
RIMINI;PENNABILLI;371;251;167;215;226;153;116;1.343;-;2.842
RIMINI;POGGIO TORRIANA;692;532;361;512;513;438;326;2.313;2;5.689
RIMINI;RICCIONE;4.431;3.337;2.406;2.955;3.274;2.388;2.399;13.173;25;34.388
RIMINI;RIMINI;19.414;14.324;9.874;12.673;13.902;10.823;10.924;51.491;96;143.521
RIMINI;SALUDECIO;413;266;180;258;251;212;189;1.535;1;3.305
RIMINI;SAN CLEMENTE;822;589;451;541;624;420;434;2.137;3;6.021
RIMINI;SAN GIOVANNI IN MARIGNANO;1.348;1.019;705;1.027;1.034;701;748;3.979;12;10.573
RIMINI;SAN LEO;320;256;160;217;224;157;166;1.235;3;2.738
RIMINI;SANT'AGATA FELTRIA;232;171;123;185;140;126;81;819;1;1.878
RIMINI;SANTARCANGELO DI ROMAGNA;2.951;2.213;1.594;2.039;2.177;1.682;1.501;8.321;13;22.491
RIMINI;SASSOFELTRIO;211;125;95;86;116;76;79;767;-;1.555
RIMINI;TALAMELLO;126;102;79;102;102;67;45;451;-;1.074
RIMINI;VERUCCHIO;1.299;943;625;863;963;774;635;3.370;5;9.477
;Somma:;466.298;399.689;303.130;408.596;419.937;311.764;344.122;1.425.882;1.953;4.081.371
