;;AUTOBUS;AUTOCARRI TRASPORTO MERCI;AUTOVEICOLI SPECIALI / SPECIFICI;AUTOVETTURE;MOTOCARRI E QUADRICICLI TRASPORTO MERCI;MOTOCICLI;MOTOVEICOLI E QUADRICICLI SPECIALI / SPECIFICI;NON DEFINITO;TRATTORI STRADALI O MOTRICI;Somma:
BOLOGNA;CASTEL SAN PIETRO TERME;17;1.498;356;13.837;20;2.330;38;-;43;18.139
BOLOGNA;CASTENASO;3;1.055;280;11.666;5;2.161;15;-;16;15.201
BOLOGNA;CASTIGLIONE DEI PEPOLI;-;523;70;3.899;19;576;19;-;9;5.115
BOLOGNA;CREVALCORE;17;966;172;9.088;5;1.229;6;-;25;11.508
BOLOGNA;DOZZA;3;495;106;4.418;10;677;9;-;6;5.724
BOLOGNA;FONTANELICE;-;214;43;1.414;12;256;6;-;4;1.949
BOLOGNA;GAGGIO MONTANO;-;560;103;3.586;24;649;22;-;14;4.958
BOLOGNA;GALLIERA;-;379;60;4.092;5;545;4;-;24;5.109
BOLOGNA;GRANAROLO DELL'EMILIA;2;997;237;9.222;28;1.649;17;-;38;12.190
BOLOGNA;GRIZZANA MORANDI;43;278;66;2.652;13;419;18;-;6;3.495
BOLOGNA;IMOLA;52;4.456;1.147;46.564;65;7.269;62;-;113;59.728
BOLOGNA;LIZZANO IN BELVEDERE;5;233;43;1.652;20;290;13;-;1;2.257
BOLOGNA;LOIANO;3;356;67;3.093;5;661;5;-;-;4.190
BOLOGNA;MALALBERGO;-;586;119;5.909;6;936;13;-;16;7.585
BOLOGNA;MARZABOTTO;-;509;111;4.444;14;805;25;-;7;5.915
BOLOGNA;MEDICINA;1;1.136;298;11.094;11;1.721;12;-;47;14.320
BOLOGNA;MINERBIO;11;552;112;5.945;7;978;7;-;29;7.641
BOLOGNA;MOLINELLA;5;1.172;216;10.419;19;1.569;12;-;78;13.490
BOLOGNA;MONGHIDORO;1;546;41;2.830;9;486;25;-;1;3.939
BOLOGNA;MONTERENZIO;1;489;114;4.169;4;911;23;-;15;5.726
BOLOGNA;MONTE SAN PIETRO;3;714;206;7.726;13;1.679;17;-;9;10.367
BOLOGNA;MONZUNO;1;540;122;4.408;10;779;15;-;4;5.879
BOLOGNA;MORDANO;-;396;83;3.331;6;534;7;-;27;4.384
BOLOGNA;NON DEFINITO BO;-;10;-;18;-;13;-;-;-;41
BOLOGNA;OZZANO DELL'EMILIA;2;902;214;9.282;12;1.756;15;-;119;12.302
BOLOGNA;PIANORO;6;1.236;222;11.414;22;2.759;25;-;21;15.705
BOLOGNA;PIEVE DI CENTO;1;482;91;4.700;7;619;2;-;15;5.917
BOLOGNA;SALA BOLOGNESE;18;689;226;5.805;10;972;12;-;29;7.761
BOLOGNA;SAN GIORGIO DI PIANO;6;696;178;5.834;5;964;5;-;5;7.693
BOLOGNA;SAN GIOVANNI IN PERSICETO;11;1.935;408;18.253;9;2.622;35;-;93;23.366
BOLOGNA;SAN LAZZARO DI SAVENA;1;1.642;381;20.559;16;5.449;44;-;11;28.103
BOLOGNA;SAN PIETRO IN CASALE;9;674;157;8.005;4;1.056;8;-;25;9.938
BOLOGNA;SANT'AGATA BOLOGNESE;3;453;94;5.011;4;649;8;-;16;6.238
BOLOGNA;SASSO MARCONI;2;1.038;225;10.192;18;2.301;22;-;12;13.810
BOLOGNA;S.BENEDETTO VAL DI SAMBRO;-;507;72;3.088;18;535;41;-;13;4.274
BOLOGNA;VALSAMOGGIA;12;2.963;516;21.845;42;3.399;60;-;82;28.919
BOLOGNA;VERGATO;-;577;129;4.750;15;762;27;-;5;6.265
BOLOGNA;ZOLA PREDOSA;12;1.372;298;13.017;14;2.553;20;-;37;17.323
FERRARA;ARGENTA;3;1.934;379;14.420;17;1.891;17;-;70;18.731
FERRARA;BONDENO;87;1.192;211;10.225;13;1.632;20;-;27;13.407
FERRARA;CENTO;10;2.413;416;24.275;28;3.504;13;-;114;30.773
FERRARA;CODIGORO;2;1.074;130;8.119;14;1.059;9;-;119;10.526
FERRARA;COMACCHIO;5;2.242;642;15.017;33;2.928;35;-;26;20.928
FERRARA;COPPARO;12;1.175;378;11.524;12;1.532;17;-;52;14.702
FERRARA;FERRARA;251;7.369;1.426;85.778;106;13.883;77;-;378;109.268
FERRARA;FISCAGLIA;2;716;158;6.150;8;833;3;-;30;7.900
FERRARA;GORO;-;475;118;2.106;11;315;-;-;5;3.030
FERRARA;JOLANDA DI SAVOIA;-;251;30;1.941;3;266;1;-;13;2.505
FERRARA;LAGOSANTO;1;367;44;3.189;6;553;2;-;4;4.166
FERRARA;MASI TORELLO;-;175;27;1.540;2;201;3;-;6;1.954
FERRARA;MESOLA;-;836;118;5.031;9;716;11;-;15;6.736
FERRARA;NON DEFINITO FE;-;11;2;23;-;3;-;-;-;39
FERRARA;OSTELLATO;-;513;63;4.034;5;497;5;-;3;5.120
FERRARA;POGGIO RENATICO;-;671;122;6.383;2;1.001;10;-;14;8.203
FERRARA;PORTOMAGGIORE;2;984;131;7.417;7;904;5;-;11;9.461
FERRARA;RIVA DEL PO;-;717;123;5.669;13;704;7;-;33;7.266
FERRARA;TERRE DEL RENO;-;697;117;6.988;7;1.015;9;-;21;8.854
FERRARA;TRESIGNANA;1;603;97;5.159;11;661;7;-;7;6.546
FERRARA;VIGARANO MAINARDA;-;534;133;5.403;12;925;7;-;8;7.022
FERRARA;VOGHIERA;2;335;40;2.452;3;350;6;-;4;3.192
FORLI'-CESENA;BAGNO DI ROMAGNA;15;736;108;3.954;44;598;22;-;47;5.524
FORLI'-CESENA;BERTINORO;3;1.054;251;7.953;42;1.608;25;-;119;11.055
FORLI'-CESENA;BORGHI;2;313;51;2.237;13;500;4;-;27;3.147
FORLI'-CESENA;CASTROCARO TERME T.D.SOLE;-;557;147;4.471;13;731;26;-;36;5.981
FORLI'-CESENA;CESENA;596;8.018;2.516;64.596;512;15.970;106;-;596;92.910
FORLI'-CESENA;CESENATICO;2;2.180;445;17.483;76;4.245;27;-;47;24.505
FORLI'-CESENA;CIVITELLA DI ROMAGNA;2;461;79;2.551;15;363;22;-;7;3.500
FORLI'-CESENA;DOVADOLA;-;161;31;1.057;5;171;3;-;-;1.428
FORLI'-CESENA;FORLI';54;8.863;2.185;77.042;80;13.970;121;-;282;102.597
FORLI'-CESENA;FORLIMPOPOLI;5;1.035;333;8.995;17;1.446;10;-;238;12.079
FORLI'-CESENA;GALEATA;5;240;14;1.521;11;288;5;-;3;2.087
FORLI'-CESENA;GAMBETTOLA;6;929;131;7.304;33;1.479;5;-;62;9.949
FORLI'-CESENA;GATTEO;2;749;142;6.339;24;1.326;6;-;51;8.639
FORLI'-CESENA;LONGIANO;11;953;184;5.092;30;1.025;9;-;53;7.357
FORLI'-CESENA;MELDOLA;5;778;169;6.972;22;1.153;18;-;5;9.122
FORLI'-CESENA;MERCATO SARACENO;-;826;130;4.579;23;925;35;-;48;6.566
FORLI'-CESENA;MODIGLIANA;2;423;59;2.935;34;655;18;-;8;4.134
FORLI'-CESENA;MONTIANO;1;200;17;1.174;18;280;1;-;3;1.694
FORLI'-CESENA;NON DEFINITO FC;-;6;-;20;-;1;-;-;-;27
FORLI'-CESENA;PORTICO E SAN BENEDETTO;-;79;10;455;1;76;1;-;5;627
FORLI'-CESENA;PREDAPPIO;-;783;114;4.275;21;760;25;-;35;6.013
FORLI'-CESENA;PREMILCUORE;1;127;13;490;6;83;3;-;-;723
FORLI'-CESENA;ROCCA SAN CASCIANO;3;185;59;1.172;5;280;4;-;2;1.710
FORLI'-CESENA;RONCOFREDDO;1;461;127;2.450;28;623;16;-;16;3.722
FORLI'-CESENA;SAN MAURO PASCOLI;3;854;119;8.067;31;1.736;7;-;13;10.830
FORLI'-CESENA;SANTA SOFIA;1;341;62;2.824;27;476;13;-;2;3.746
FORLI'-CESENA;SARSINA;24;421;54;2.233;25;374;16;-;19;3.166
FORLI'-CESENA;SAVIGNANO SUL RUBICONE;5;1.551;280;12.113;42;2.397;10;-;19;16.417
FORLI'-CESENA;SOGLIANO AL RUBICONE;3;356;82;2.270;7;382;15;-;54;3.169
FORLI'-CESENA;TREDOZIO;2;134;4;795;13;111;3;-;-;1.062
FORLI'-CESENA;VERGHERETO;8;307;49;1.294;18;156;14;-;16;1.862
MODENA;BASTIGLIA;-;334;54;2.849;-;401;6;-;87;3.731
MODENA;BOMPORTO;36;873;195;7.006;6;1.035;9;-;58;9.218
MODENA;CAMPOGALLIANO;-;1.007;151;6.015;5;1.112;8;-;68;8.366
MODENA;CAMPOSANTO;8;293;62;2.184;1;292;6;-;8;2.854
MODENA;CARPI;44;4.823;802;46.124;25;6.819;28;-;80;58.745
MODENA;CASTELFRANCO EMILIA;8;2.436;504;22.262;26;3.308;30;-;91;28.665
MODENA;CASTELNUOVO RANGONE;-;1.023;230;10.214;8;1.668;17;-;54;13.214
MODENA;CASTELVETRO DI MODENA;3;945;167;8.077;9;1.370;24;-;49;10.644
MODENA;CAVEZZO;1;614;117;4.667;6;719;15;-;20;6.159
MODENA;CONCORDIA SULLA SECCHIA;2;1.400;131;5.686;3;768;10;-;19;8.019
MODENA;FANANO;4;355;72;2.158;8;398;23;-;3;3.021
MODENA;FINALE EMILIA;3;1.403;240;10.556;9;1.524;6;-;19;13.760
MODENA;FIORANO MODENESE;7;1.894;283;12.586;14;1.727;24;-;76;16.611
MODENA;FIUMALBO;4;184;19;954;2;130;16;-;11;1.320
MODENA;FORMIGINE;10;2.121;393;24.185;22;3.415;44;-;56;30.246
MODENA;FRASSINORO;3;267;18;1.287;5;191;23;-;1;1.795
MODENA;GUIGLIA;-;448;56;3.045;5;465;12;-;3;4.034
MODENA;LAMA MOCOGNO;3;486;48;2.260;11;416;38;-;13;3.275
MODENA;MARANELLO;13;1.329;238;12.441;10;1.832;32;-;29;15.924
MODENA;MARANO SUL PANARO;-;480;81;3.763;10;599;17;-;59;5.009
MODENA;MEDOLLA;20;615;111;4.429;6;594;4;-;4;5.783
MODENA;MIRANDOLA;3;2.587;481;17.319;9;2.327;30;-;54;22.810
MODENA;MODENA;891;11.783;2.532;123.051;91;18.296;95;-;505;157.244
MODENA;MONTECRETO;2;141;15;691;7;101;5;-;-;962
MODENA;MONTEFIORINO;6;315;39;1.512;13;256;42;-;13;2.196
MODENA;MONTESE;19;692;94;2.493;25;379;39;-;38;3.779
MODENA;NONANTOLA;1;1.096;271;10.757;5;1.469;12;-;31;13.642
MODENA;NON DEFINITO MO;-;4;-;15;-;4;-;-;1;24
MODENA;NOVI DI MODENA;-;793;167;6.679;8;891;7;-;8;8.553
MODENA;PALAGANO;3;371;42;1.587;13;247;52;-;19;2.334
MODENA;PAVULLO NEL FRIGNANO;18;1.827;367;13.217;27;1.906;63;-;43;17.468
MODENA;PIEVEPELAGO;3;288;38;1.600;13;216;16;-;2;2.176
MODENA;POLINAGO;1;227;22;1.270;4;241;23;-;1;1.789
MODENA;PRIGNANO SULLA SECCHIA;3;473;60;2.793;7;517;46;-;26;3.925
MODENA;RAVARINO;-;494;92;4.418;5;556;6;-;29;5.600
MODENA;RIOLUNATO;1;78;6;569;2;75;15;-;-;746
MODENA;SAN CESARIO SUL PANARO;-;627;121;4.660;7;731;4;-;16;6.166
MODENA;SAN FELICE SUL PANARO;1;1.091;222;7.532;4;897;10;-;98;9.855
MODENA;SAN POSSIDONIO;3;326;63;2.429;2;323;3;-;-;3.149
MODENA;SAN PROSPERO;-;567;134;4.329;2;702;4;-;15;5.753
MODENA;SASSUOLO;-;3.655;436;29.160;34;3.905;76;-;487;37.753
MODENA;SAVIGNANO SUL PANARO;-;891;155;6.428;12;808;9;-;66;8.369
MODENA;SERRAMAZZONI;6;1.032;198;6.584;17;1.247;56;-;21;9.161
MODENA;SESTOLA;4;344;49;1.900;10;334;21;-;1;2.663
MODENA;SOLIERA;2;1.167;247;10.571;7;1.523;15;-;27;13.559
MODENA;SPILAMBERTO;11;1.188;233;8.725;12;1.142;11;-;69;11.391
MODENA;VIGNOLA;42;1.890;306;17.427;34;2.122;33;-;178;22.032
MODENA;ZOCCA;2;533;73;3.367;17;542;16;-;2;4.552
PARMA;ALBARETO;1;263;35;1.710;3;269;20;-;2;2.303
PARMA;BARDI;6;290;41;1.803;5;292;22;-;10;2.469
PARMA;BEDONIA;12;366;33;2.293;10;446;20;-;14;3.194
PARMA;BERCETO;1;258;35;1.434;11;216;8;-;12;1.975
PARMA;BORE;1;55;9;485;2;69;9;-;-;630
PARMA;BORGO VAL DI TARO;-;638;95;4.665;6;710;36;-;3;6.153
PARMA;BUSSETO;2;789;81;4.503;8;672;12;-;34;6.101
PARMA;CALESTANO;43;208;29;1.448;1;317;18;-;98;2.162
PARMA;COLLECCHIO;-;1.150;460;10.099;6;1.805;26;-;53;13.599
PARMA;COLORNO;3;559;119;6.014;13;1.030;16;-;6;7.760
PARMA;COMPIANO;3;138;17;832;1;131;12;-;5;1.139
PARMA;CORNIGLIO;14;301;34;1.360;4;273;26;-;5;2.017
PARMA;FELINO;2;596;102;6.246;4;1.221;16;-;29;8.216
PARMA;FIDENZA;28;2.173;372;16.968;8;2.492;35;-;374;22.450
PARMA;FONTANELLATO;-;635;128;4.973;5;781;12;-;13;6.547
PARMA;FONTEVIVO;-;617;88;4.026;2;721;10;-;144;5.608
PARMA;FORNOVO DI TARO;4;542;70;4.100;8;657;18;-;10;5.409
PARMA;LANGHIRANO;52;1.103;261;7.318;16;1.170;52;-;25;9.997
PARMA;LESIGNANO DE BAGNI;3;511;113;3.861;9;661;33;-;10;5.201
PARMA;MEDESANO;3;1.019;171;7.927;21;1.433;34;-;84;10.692
PARMA;MONCHIO DELLE CORTI;5;160;12;626;2;108;19;-;2;934
PARMA;MONTECHIARUGOLO;-;719;146;7.617;5;1.376;13;-;9;9.885
PARMA;NEVIANO DEGLI ARDUINI;10;469;62;2.676;10;566;67;-;12;3.872
PARMA;NOCETO;2;1.033;201;9.047;4;1.492;16;-;127;11.922
PARMA;NON DEFINITO PR;-;13;2;29;-;9;-;-;-;53
PARMA;PALANZANO;18;211;15;815;3;120;9;-;6;1.197
PARMA;PARMA;363;12.121;2.255;122.947;118;25.691;232;-;1.151;164.878
PARMA;PELLEGRINO PARMENSE;2;137;12;750;2;152;3;-;5;1.063
PARMA;POLESINE ZIBELLO;-;343;49;2.260;2;332;6;-;19;3.011
PARMA;ROCCABIANCA;-;272;35;2.217;1;324;4;-;11;2.864
PARMA;SALA BAGANZA;1;459;62;3.895;6;667;12;-;25;5.127
PARMA;SALSOMAGGIORE TERME;8;1.324;228;13.591;25;2.440;33;-;36;17.685
PARMA;SAN SECONDO PARMENSE;3;397;90;3.833;2;540;10;-;63;4.938
PARMA;SISSA TRECASALI;1;733;77;5.562;2;897;13;-;37;7.322
PARMA;SOLIGNANO;-;271;19;1.266;5;289;15;-;5;1.870
PARMA;SORAGNA;-;480;60;3.308;2;474;5;-;4;4.333
PARMA;SORBOLO MEZZANI;7;973;159;8.736;10;1.545;31;-;53;11.514
PARMA;TERENZO;2;147;26;876;3;179;9;-;-;1.242
PARMA;TIZZANO VAL PARMA;10;352;45;1.591;2;272;33;-;3;2.308
PARMA;TORNOLO;4;135;15;726;11;145;14;-;3;1.053
PARMA;TORRILE;1;590;204;5.353;4;910;15;-;30;7.107
PARMA;TRAVERSETOLO;-;899;151;6.549;12;1.247;22;-;46;8.926
PARMA;VALMOZZOLA;-;141;17;413;2;53;2;-;-;628
PARMA;VARANO DE' MELEGARI;-;422;50;2.121;8;445;21;-;16;3.083
PARMA;VARSI;-;177;74;989;12;141;7;-;40;1.440
PIACENZA;AGAZZANO;1;204;21;1.376;2;229;5;-;1;1.839
PIACENZA;ALSENO;10;582;85;3.486;3;500;12;-;12;4.690
PIACENZA;ALTA VAL TIDONE;4;448;35;2.159;10;408;12;-;21;3.097
PIACENZA;BESENZONE;3;82;10;675;2;100;2;-;2;876
PIACENZA;BETTOLA;7;438;25;1.920;6;317;29;-;9;2.751
PIACENZA;BOBBIO;2;426;49;2.355;18;606;27;-;22;3.505
PIACENZA;BORGONOVO VAL TIDONE;16;649;55;5.112;6;748;17;-;7;6.610
PIACENZA;CADEO;-;580;98;4.246;4;536;5;-;98;5.567
PIACENZA;CALENDASCO;1;388;32;1.716;5;365;8;-;131;2.646
PIACENZA;CAORSO;-;495;89;3.262;3;459;4;-;102;4.414
PIACENZA;CARPANETO PIACENTINO;2;807;86;5.339;5;941;24;-;45;7.249
PIACENZA;CASTELL'ARQUATO;1;483;50;3.263;5;600;23;-;55;4.480
PIACENZA;CASTEL SAN GIOVANNI;2;1.005;154;8.774;13;1.138;25;-;164;11.275
PIACENZA;CASTELVETRO PIACENTINO;4;439;85;3.730;7;636;6;-;8;4.915
PIACENZA;CERIGNALE;-;15;1;80;-;21;-;-;1;118
PIACENZA;COLI;34;138;13;671;1;128;8;-;6;999
PIACENZA;CORTE BRUGNATELLA;3;125;27;459;-;86;4;-;2;706
PIACENZA;CORTEMAGGIORE;2;432;155;2.951;3;388;3;-;134;4.068
PIACENZA;FARINI;-;225;29;877;7;164;12;-;10;1.324
PIACENZA;FERRIERE;1;191;22;865;3;153;11;-;1;1.247
PIACENZA;FIORENZUOLA D'ARDA;25;1.274;215;9.678;9;1.415;20;-;598;13.234
PIACENZA;GAZZOLA;2;283;40;1.518;2;429;12;-;1;2.287
PIACENZA;GOSSOLENGO;2;534;59;3.969;6;817;9;-;21;5.417
PIACENZA;GRAGNANO TREBBIENSE;3;419;60;3.110;5;524;7;-;11;4.139
PIACENZA;GROPPARELLO;29;292;29;1.661;4;308;15;-;5;2.343
PIACENZA;LUGAGNANO VAL D'ARDA;3;541;50;2.717;9;427;31;-;16;3.794
PIACENZA;MONTICELLI D'ONGINA;2;494;55;3.451;11;564;7;-;12;4.596
PIACENZA;MORFASSO;1;179;15;769;-;111;11;-;19;1.105
PIACENZA;NON DEFINITO PC;-;11;1;20;-;1;-;-;1;34
PIACENZA;OTTONE;-;96;8;308;2;81;11;-;-;506
PIACENZA;PIACENZA;81;7.520;1.287;64.533;83;11.636;138;-;1.271;86.549
PIACENZA;PIANELLO VAL TIDONE;1;309;24;1.474;-;252;7;-;23;2.090
PIACENZA;PIOZZANO;1;110;7;502;2;104;2;-;-;728
PIACENZA;PODENZANO;1;963;109;6.347;11;1.172;19;-;122;8.744
PIACENZA;PONTE DELL'OLIO;9;511;75;3.067;15;612;12;-;23;4.324
PIACENZA;PONTENURE;20;587;148;4.275;1;644;5;-;91;5.771
PIACENZA;RIVERGARO;1;787;139;4.841;8;986;19;-;83;6.864
PIACENZA;ROTTOFRENO;3;951;111;8.151;8;1.492;10;-;138;10.864
PIACENZA;SAN GIORGIO PIACENTINO;3;509;84;3.945;5;694;14;-;95;5.349
PIACENZA;SAN PIETRO IN CERRO;1;127;15;611;1;118;4;-;-;877
PIACENZA;SARMATO;2;354;44;2.028;2;316;8;-;22;2.776
PIACENZA;TRAVO;1;277;25;1.664;4;388;10;-;9;2.378
PIACENZA;VERNASCA;5;329;43;1.511;3;288;19;-;26;2.224
PIACENZA;VIGOLZONE;-;439;48;2.878;10;575;15;-;24;3.989
PIACENZA;VILLANOVA SULL'ARDA;2;236;32;1.211;-;187;2;-;2;1.672
PIACENZA;ZERBA;-;5;3;60;1;22;1;-;-;92
PIACENZA;ZIANO PIACENTINO;2;325;19;1.810;6;318;19;-;6;2.505
RAVENNA;ALFONSINE;23;1.243;156;8.462;9;1.237;10;-;54;11.194
RAVENNA;BAGNACAVALLO;10;1.589;274;12.147;14;1.855;13;-;27;15.929
RAVENNA;BAGNARA DI ROMAGNA;71;225;52;1.641;3;264;2;-;4;2.262
RAVENNA;BRISIGHELLA;10;977;113;5.254;67;1.117;51;-;8;7.597
RAVENNA;CASOLA VALSENIO;1;334;33;1.755;13;426;13;-;2;2.577
RAVENNA;CASTEL BOLOGNESE;-;859;124;6.328;10;906;10;-;19;8.256
RAVENNA;CERVIA;26;2.170;388;19.924;84;5.266;48;-;33;27.939
RAVENNA;CONSELICE;33;977;207;7.117;7;914;17;-;42;9.314
RAVENNA;COTIGNOLA;-;662;91;5.334;9;807;4;-;16;6.923
RAVENNA;FAENZA;33;5.534;997;41.207;56;7.263;112;-;437;55.639
RAVENNA;FUSIGNANO;-;668;121;5.633;8;822;7;-;12;7.271
RAVENNA;LUGO;55;3.016;577;22.515;39;3.586;28;-;165;29.981
RAVENNA;MASSA LOMBARDA;7;766;176;7.214;10;898;11;-;18;9.100
RAVENNA;NON DEFINITO RA;-;6;-;32;2;4;-;-;-;44
RAVENNA;RAVENNA;47;11.676;2.381;112.214;252;23.144;172;-;723;150.609
RAVENNA;RIOLO TERME;37;532;115;3.823;18;693;20;-;25;5.263
RAVENNA;RUSSI;1;1.152;186;8.617;22;1.390;9;-;46;11.423
RAVENNA;SANT'AGATA SUL SANTERNO;1;421;42;2.155;1;369;1;-;3;2.993
RAVENNA;SOLAROLO;-;401;55;3.011;8;458;3;-;19;3.955
REGGIO EMILIA;ALBINEA;-;623;125;6.073;3;1.361;8;-;20;8.213
REGGIO EMILIA;BAGNOLO IN PIANO;3;594;133;6.207;3;900;3;-;45;7.888
REGGIO EMILIA;BAISO;1;333;59;2.496;3;391;28;-;48;3.359
REGGIO EMILIA;BIBBIANO;3;990;516;7.620;5;1.321;22;-;44;10.521
REGGIO EMILIA;BORETTO;-;411;68;3.743;4;492;12;-;10;4.740
REGGIO EMILIA;BRESCELLO;-;595;70;4.652;1;649;14;-;57;6.038
REGGIO EMILIA;CADELBOSCO DI SOPRA;-;918;175;7.248;4;1.108;20;-;52;9.525
REGGIO EMILIA;CAMPAGNOLA EMILIA;1;483;106;3.533;-;506;4;-;16;4.649
REGGIO EMILIA;CAMPEGINE;-;309;59;3.417;5;479;7;-;6;4.282
REGGIO EMILIA;CANOSSA;1;425;53;2.756;5;538;33;-;6;3.817
REGGIO EMILIA;CARPINETI;6;504;66;3.147;10;492;65;-;12;4.302
REGGIO EMILIA;CASALGRANDE;-;1.468;268;13.769;30;2.290;36;-;88;17.949
REGGIO EMILIA;CASINA;-;490;80;3.288;7;604;35;-;5;4.509
REGGIO EMILIA;CASTELLARANO;7;1.187;185;10.855;15;1.828;62;-;89;14.228
REGGIO EMILIA;CASTELNOVO DI SOTTO;2;653;141;5.765;7;764;6;-;29;7.367
REGGIO EMILIA;CASTELNOVO NE' MONTI;4;1.232;227;7.715;20;1.230;60;-;26;10.514
REGGIO EMILIA;CAVRIAGO;-;863;135;6.661;8;1.117;11;-;30;8.825
REGGIO EMILIA;CORREGGIO;2;1.846;414;16.932;6;2.753;27;-;72;22.052
REGGIO EMILIA;FABBRICO;-;317;66;3.790;5;627;5;-;12;4.822
REGGIO EMILIA;GATTATICO;-;674;100;4.063;3;644;6;-;30;5.520
REGGIO EMILIA;GUALTIERI;1;525;100;4.468;7;656;9;-;25;5.791
REGGIO EMILIA;GUASTALLA;2;884;150;9.655;6;1.286;9;-;9;12.001
REGGIO EMILIA;LUZZARA;-;605;96;5.466;1;722;12;-;23;6.925
REGGIO EMILIA;MONTECCHIO EMILIA;14;792;183;7.174;10;1.251;16;-;84;9.524
REGGIO EMILIA;NON DEFINITO RE;-;3;-;8;1;-;-;-;-;12
REGGIO EMILIA;NOVELLARA;-;1.115;205;8.647;7;1.318;12;-;24;11.328
REGGIO EMILIA;POVIGLIO;2;691;135;5.137;6;721;11;-;33;6.736
REGGIO EMILIA;QUATTRO CASTELLA;4;989;165;8.939;14;1.888;34;-;11;12.044
REGGIO EMILIA;REGGIOLO;2;706;118;5.940;9;786;8;-;21;7.590
REGGIO EMILIA;REGGIO NELL'EMILIA;184;17.667;2.807;119.472;98;19.157;177;1;378;159.941
REGGIO EMILIA;RIO SALICETO;1;549;107;3.886;6;661;5;-;17;5.232
REGGIO EMILIA;ROLO;1;273;38;2.305;2;321;-;-;3;2.943
REGGIO EMILIA;RUBIERA;-;1.043;209;9.895;4;1.460;10;1;70;12.692
REGGIO EMILIA;SAN MARTINO IN RIO;2;584;104;5.359;4;896;12;-;10;6.971
REGGIO EMILIA;SAN POLO D'ENZA;34;681;105;4.367;11;890;31;-;26;6.145
REGGIO EMILIA;SANT'ILARIO D'ENZA;-;795;225;7.312;7;1.052;6;-;85;9.482
REGGIO EMILIA;SCANDIANO;1;2.199;459;17.713;17;2.854;45;-;270;23.558
REGGIO EMILIA;TOANO;18;548;73;3.068;9;417;38;-;40;4.211
REGGIO EMILIA;VENTASSO;6;659;69;2.745;23;459;70;-;22;4.053
REGGIO EMILIA;VETTO;26;231;20;1.372;1;208;30;-;13;1.901
REGGIO EMILIA;VEZZANO SUL CROSTOLO;1;403;59;2.871;2;553;18;-;3;3.910
REGGIO EMILIA;VIANO;-;334;56;2.551;4;514;31;-;8;3.498
REGGIO EMILIA;VILLA MINOZZO;21;430;55;2.559;16;319;48;-;3;3.451
RIMINI;BELLARIA IGEA MARINA;19;1.338;299;12.502;92;3.124;28;-;23;17.425
RIMINI;CASTELDELCI;1;71;5;304;8;54;3;-;5;451
RIMINI;CATTOLICA;5;916;170;10.905;67;4.235;60;-;35;16.393
RIMINI;CORIANO;2;1.078;196;7.495;33;2.716;16;-;11;11.547
RIMINI;GEMMANO;1;121;17;862;6;262;2;-;1;1.272
RIMINI;MAIOLO;2;81;14;591;7;118;1;-;1;815
RIMINI;MISANO ADRIATICO;9;1.153;226;9.659;43;3.280;26;-;51;14.447
RIMINI;MONDAINO;2;106;20;1.047;20;203;4;-;-;1.402
RIMINI;MONTECOPIOLO;2;153;38;843;6;134;18;-;-;1.194
RIMINI;MONTEFIORE CONCA;1;194;25;1.673;11;477;5;-;-;2.386
RIMINI;MONTEGRIDOLFO;-;92;17;733;6;234;2;-;1;1.085
