;;2006 - 2008;2009 - 2011;2012 - 2013;2014 - 2015;2016 - 2017;2018 - 2019;2020 - 2021;FINO AL 2005;NON DEFINITO;Somma:
FERRARA;CENTO;3.886;3.871;2.202;2.596;3.059;3.033;2.112;9.810;13;30.582
FERRARA;CODIGORO;1.436;1.348;700;725;959;914;677;3.875;3;10.637
FERRARA;COMACCHIO;2.702;2.742;1.267;1.412;2.024;1.919;1.431;7.106;13;20.616
FERRARA;COPPARO;1.900;1.857;1.075;1.106;1.383;1.335;877;4.971;5;14.509
FERRARA;FERRARA;12.873;13.914;7.629;9.028;11.884;12.311;9.687;31.915;68;109.309
FERRARA;FISCAGLIA;926;990;483;538;684;646;467;3.137;3;7.874
FERRARA;GORO;378;411;261;273;383;380;257;715;-;3.058
FERRARA;JOLANDA DI SAVOIA;360;310;132;155;196;183;154;1.035;7;2.532
FERRARA;LAGOSANTO;576;566;290;289;435;379;244;1.381;1;4.161
FERRARA;MASI TORELLO;210;259;150;189;207;212;145;588;-;1.960
FERRARA;MESOLA;866;832;392;424;525;523;319;2.808;5;6.694
FERRARA;NON DEFINITO FE;1;3;1;1;-;1;-;34;-;41
FERRARA;OSTELLATO;675;652;344;387;482;452;334;1.810;1;5.137
FERRARA;POGGIO RENATICO;1.021;1.081;581;647;871;881;628;2.442;3;8.155
FERRARA;PORTOMAGGIORE;1.247;1.182;568;706;873;878;581;3.384;6;9.425
FERRARA;RIVA DEL PO;958;876;443;443;623;556;351;3.009;2;7.261
FERRARA;TERRE DEL RENO;1.115;1.092;653;740;907;867;597;2.848;-;8.819
FERRARA;TRESIGNANA;918;787;447;471;633;523;351;2.371;-;6.501
FERRARA;VIGARANO MAINARDA;827;860;510;609;805;749;585;1.986;5;6.936
FERRARA;VOGHIERA;418;454;248;260;318;339;244;932;1;3.214
FORLI'-CESENA;BAGNO DI ROMAGNA;736;731;275;335;463;456;318;2.217;3;5.534
FORLI'-CESENA;BERTINORO;1.436;1.458;742;806;1.116;1.057;757;3.595;2;10.969
FORLI'-CESENA;BORGHI;402;393;184;190;249;250;165;1.267;-;3.100
FORLI'-CESENA;CASTROCARO TERME T.D.SOLE;714;681;392;408;560;550;415;2.225;-;5.945
FORLI'-CESENA;CESENA;11.606;12.340;6.162;7.489;9.961;10.036;7.391;27.347;40;92.372
FORLI'-CESENA;CESENATICO;3.280;3.399;1.632;1.712;2.443;2.272;1.730;7.917;5;24.390
FORLI'-CESENA;CIVITELLA DI ROMAGNA;425;402;188;194;286;260;150;1.596;3;3.504
FORLI'-CESENA;DOVADOLA;164;161;68;87;114;114;90;604;-;1.402
FORLI'-CESENA;FORLI';13.232;13.581;6.752;8.202;10.630;10.787;7.484;31.472;50;102.190
FORLI'-CESENA;FORLIMPOPOLI;1.630;1.674;842;970;1.220;1.183;758;3.893;3;12.173
FORLI'-CESENA;GALEATA;271;222;114;129;152;143;92;971;1;2.095
FORLI'-CESENA;GAMBETTOLA;1.308;1.343;653;765;977;920;644;3.240;4;9.854
