EMILIA ROMAGNA;;2003 - 2005;2006 - 2008;2009 - 2010;2011 - 2012;2013 - 2014;2015 - 2016;2017 - 2018;FINO AL 2002;NON DEFINITO;Somma:
FERRARA;POGGIO RENATICO;963;1.235;830;671;639;807;811;2.141;3;8.100
FERRARA;PORTOMAGGIORE;1.151;1.285;834;718;609;802;828;2.782;6;9.015
FERRARA;RO;358;404;299;211;191;236;248;874;1;2.822
FERRARA;TERRE DEL RENO;1.052;1.323;850;728;694;806;820;2.379;-;8.652
FERRARA;TRESIGALLO;519;600;361;305;249;299;315;1.235;-;3.883
FERRARA;VIGARANO MAINARDA;763;974;671;595;556;721;730;1.592;5;6.607
FERRARA;VOGHIERA;355;481;359;278;248;290;302;839;1;3.153
FORLI'-CESENA;BAGNO DI ROMAGNA;712;828;520;360;298;376;387;1.909;3;5.393
FORLI'-CESENA;BERTINORO;1.150;1.661;1.111;865;760;916;1.007;3.025;2;10.497
FORLI'-CESENA;BORGHI;375;428;254;200;156;200;218;1.036;1;2.868
FORLI'-CESENA;CASTROCARO TERME T.D.SOLE;666;803;555;375;394;464;488;1.840;-;5.585
FORLI'-CESENA;CESENA;10.433;14.030;9.893;7.566;6.786;9.192;9.633;23.347;39;90.919
FORLI'-CESENA;CESENATICO;2.869;3.760;2.582;1.918;1.548;2.100;2.161;6.595;6;23.539
FORLI'-CESENA;CIVITELLA DI ROMAGNA;434;455;302;170;179;211;245;1.425;3;3.424
FORLI'-CESENA;DOVADOLA;177;193;125;79;92;108;82;531;-;1.387
FORLI'-CESENA;FORLI';12.135;15.813;10.764;8.285;7.339;10.059;10.117;26.410;51;100.973
FORLI'-CESENA;FORLIMPOPOLI;1.427;1.901;1.300;977;834;1.115;1.023;3.384;3;11.964
FORLI'-CESENA;GALEATA;292;260;135;118;105;141;148;852;1;2.052
FORLI'-CESENA;GAMBETTOLA;1.206;1.546;1.046;731;635;889;838;2.704;4;9.599
FORLI'-CESENA;GATTEO;1.077;1.314;884;629;540;725;703;2.179;6;8.057
FORLI'-CESENA;LONGIANO;816;1.139;757;571;475;633;631;2.024;7;7.053
FORLI'-CESENA;MELDOLA;1.117;1.312;880;608;535;676;673;3.185;3;8.989
FORLI'-CESENA;MERCATO SARACENO;779;995;688;502;437;546;580;1.862;4;6.393
FORLI'-CESENA;MODIGLIANA;460;584;365;285;255;287;358;1.482;2;4.078
FORLI'-CESENA;MONTIANO;192;271;188;107;97;140;122;502;1;1.620
FORLI'-CESENA;NON DEFINITO FC;-;1;-;-;-;-;-;16;-;17
FORLI'-CESENA;PORTICO E SAN BENEDETTO;67;101;63;32;32;49;40;264;-;648
FORLI'-CESENA;PREDAPPIO;679;828;509;418;356;445;432;2.032;-;5.699
FORLI'-CESENA;PREMILCUORE;94;89;70;43;34;35;36;333;2;736
FORLI'-CESENA;ROCCA SAN CASCIANO;198;232;161;107;102;134;93;632;-;1.659
FORLI'-CESENA;RONCOFREDDO;444;518;333;249;213;268;290;1.210;2;3.527
FORLI'-CESENA;SAN MAURO PASCOLI;1.299;1.685;1.106;853;697;990;954;2.719;3;10.306
FORLI'-CESENA;SANTA SOFIA;486;519;298;228;214;285;265;1.319;3;3.617
FORLI'-CESENA;SARSINA;387;424;260;184;206;228;227;1.190;1;3.107
FORLI'-CESENA;SAVIGNANO SUL RUBICONE;1.990;2.481;1.626;1.155;1.057;1.354;1.317;4.715;11;15.706
FORLI'-CESENA;SOGLIANO AL RUBICONE;364;472;278;236;181;239;221;1.099;1;3.091
FORLI'-CESENA;TREDOZIO;122;142;115;80;60;67;76;360;-;1.022
FORLI'-CESENA;VERGHERETO;242;256;175;133;93;113;111;714;1;1.838
MODENA;BASTIGLIA;385;487;338;283;440;369;365;823;-;3.490
MODENA;BOMPORTO;1.074;1.498;899;803;703;920;935;2.365;12;9.209
MODENA;CAMPOGALLIANO;935;1.288;799;677;678;821;885;2.036;5;8.124
MODENA;CAMPOSANTO;336;388;222;202;183;235;246;1.012;2;2.826
MODENA;CARPI;6.438;8.370;5.428;4.714;4.438;5.787;6.599;14.225;43;56.042
MODENA;CASTELFRANCO EMILIA;3.220;4.145;2.549;2.223;2.191;2.656;2.883;7.068;32;26.967
MODENA;CASTELNUOVO RANGONE;1.418;1.865;1.201;1.150;1.125;1.548;1.514;3.084;6;12.911
MODENA;CASTELVETRO DI MODENA;1.198;1.444;912;845;840;1.064;1.162;2.964;7;10.436
MODENA;CAVEZZO;713;869;566;479;456;516;551;1.856;9;6.015
MODENA;CONCORDIA SULLA SECCHIA;902;1.160;780;667;606;616;633;2.404;3;7.771
MODENA;FANANO;337;434;248;199;163;209;201;1.072;4;2.867
MODENA;FINALE EMILIA;1.576;1.986;1.201;1.014;978;1.255;1.205;4.303;16;13.534
MODENA;FIORANO MODENESE;1.921;2.393;1.437;1.489;1.277;1.827;1.812;4.223;9;16.388
MODENA;FIUMALBO;168;212;103;96;73;80;96;439;-;1.267
MODENA;FORMIGINE;3.240;4.291;2.929;2.682;2.524;3.321;3.514;6.879;20;29.400
MODENA;FRASSINORO;189;284;144;131;117;143;154;616;2;1.780
MODENA;GUIGLIA;408;562;286;265;258;292;345;1.311;3;3.730
MODENA;LAMA MOCOGNO;391;385;219;179;132;178;187;1.449;1;3.121
MODENA;MARANELLO;1.835;2.447;1.475;1.278;1.253;1.592;1.698;4.140;19;15.737
MODENA;MARANO SUL PANARO;567;691;405;378;338;463;411;1.459;9;4.721
MODENA;MEDOLLA;645;867;566;499;548;586;562;1.349;1;5.623
MODENA;MIRANDOLA;2.687;3.159;2.097;1.771;1.665;1.961;2.362;6.214;14;21.930
MODENA;MODENA;17.226;22.467;15.013;12.823;12.351;16.290;18.132;39.962;135;154.399
MODENA;MONTECRETO;105;131;62;70;60;62;55;353;-;898
MODENA;MONTEFIORINO;258;330;189;165;149;183;193;641;1;2.109
MODENA;MONTESE;395;514;309;271;245;300;304;1.179;3;3.520
MODENA;NONANTOLA;1.542;1.914;1.312;1.228;1.073;1.282;1.370;3.418;4;13.143
MODENA;NON DEFINITO MO;-;-;-;-;-;-;-;25;-;25
MODENA;NOVI DI MODENA;987;1.280;715;638;594;722;749;2.510;8;8.203
MODENA;PALAGANO;278;358;181;154;149;144;177;850;-;2.291
MODENA;PAVULLO NEL FRIGNANO;2.035;2.506;1.406;1.195;1.011;1.262;1.284;5.847;12;16.558
MODENA;PIEVEPELAGO;271;332;186;132;106;133;154;807;-;2.121
MODENA;POLINAGO;210;239;118;112;69;96;111;771;1;1.727
MODENA;PRIGNANO SULLA SECCHIA;436;513;285;278;243;367;371;1.228;3;3.724
MODENA;RAVARINO;626;781;471;439;364;464;488;1.573;3;5.209
MODENA;RIOLUNATO;87;119;72;58;40;48;61;249;-;734
MODENA;SAN CESARIO SUL PANARO;657;822;542;504;480;638;669;1.544;6;5.862
MODENA;SAN FELICE SUL PANARO;1.200;1.359;866;755;649;805;865;2.785;12;9.296
MODENA;SAN POSSIDONIO;375;406;241;239;192;250;234;1.110;2;3.049
MODENA;SAN PROSPERO;613;809;464;476;411;517;501;1.742;2;5.535
MODENA;SASSUOLO;4.420;5.431;3.160;2.947;2.777;3.766;4.708;10.693;36;37.938
MODENA;SAVIGNANO SUL PANARO;947;1.238;785;648;597;762;787;2.174;2;7.940
MODENA;SERRAMAZZONI;985;1.166;649;578;520;616;686;2.984;5;8.189
MODENA;SESTOLA;338;423;208;178;132;191;165;939;3;2.577
MODENA;SOLIERA;1.537;1.928;1.232;1.108;980;1.286;1.387;3.417;7;12.882
MODENA;SPILAMBERTO;1.183;1.674;1.040;930;838;1.115;1.124;2.887;9;10.800
MODENA;VIGNOLA;2.658;3.206;2.038;1.731;1.747;2.099;2.354;5.714;15;21.562
MODENA;ZOCCA;554;621;369;323;274;341;367;1.520;6;4.375
PARMA;ALBARETO;271;291;187;142;116;141;137;869;1;2.155
PARMA;BARDI;240;291;164;143;125;138;119;1.135;-;2.355
PARMA;BEDONIA;368;435;290;224;178;228;206;1.166;1;3.096
PARMA;BERCETO;214;260;141;134;115;160;144;702;1;1.871
PARMA;BORE;60;91;46;42;33;44;29;256;1;602
PARMA;BORGO VAL DI TARO;653;814;559;377;355;479;441;2.160;1;5.839
PARMA;BUSSETO;672;846;583;462;438;585;570;1.793;3;5.952
PARMA;CALESTANO;252;283;174;160;132;173;175;675;-;2.024
PARMA;COLLECCHIO;1.337;2.000;1.470;1.398;1.251;1.541;1.497;3.031;7;13.532
PARMA;COLORNO;886;1.049;745;647;551;761;740;2.228;2;7.609
PARMA;COMPIANO;134;134;97;74;78;86;75;401;-;1.079
PARMA;CORNIGLIO;223;243;164;147;108;161;117;753;2;1.918
PARMA;FELINO;859;1.125;774;698;644;820;862;1.920;2;7.704
PARMA;FIDENZA;2.517;3.265;2.271;1.787;1.617;2.208;2.196;5.519;5;21.385
PARMA;FONTANELLATO;781;908;638;486;475;633;615;1.683;1;6.220
PARMA;FONTEVIVO;636;834;582;572;433;533;611;1.406;1;5.608
PARMA;FORNOVO DI TARO;605;734;510;396;353;483;497;1.839;2;5.419
PARMA;LANGHIRANO;1.142;1.410;902;784;648;875;903;2.910;2;9.576
PARMA;LESIGNANO DE BAGNI;568;725;500;441;357;484;471;1.351;-;4.897
PARMA;MEDESANO;1.192;1.499;994;883;748;920;993;2.928;2;10.159
PARMA;MEZZANI;321;444;253;237;207;264;292;815;2;2.835
PARMA;MONCHIO DELLE CORTI;91;146;59;63;49;72;56;393;-;929
PARMA;MONTECHIARUGOLO;972;1.360;1.002;850;824;1.015;1.003;2.505;2;9.533
PARMA;NEVIANO DEGLI ARDUINI;403;532;346;242;230;240;306;1.394;1;3.694
PARMA;NOCETO;1.251;1.643;1.175;974;918;1.194;1.240;2.938;1;11.334
PARMA;NON DEFINITO PR;-;5;-;-;1;-;-;39;-;45
PARMA;PALANZANO;120;173;102;67;63;85;79;483;1;1.173
PARMA;PARMA;16.127;22.360;16.428;14.174;13.189;17.679;19.036;39.047;74;158.114
PARMA;PELLEGRINO PARMENSE;120;143;73;54;68;66;68;445;-;1.037
PARMA;POLESINE ZIBELLO;409;438;248;223;201;252;222;980;-;2.973
PARMA;ROCCABIANCA;320;376;214;198;181;236;262;887;2;2.676
PARMA;SALA BAGANZA;478;719;525;441;411;513;543;1.321;1;4.952
PARMA;SALSOMAGGIORE TERME;2.119;2.626;1.808;1.269;1.206;1.431;1.599;5.029;4;17.091
PARMA;SAN SECONDO PARMENSE;520;743;459;345;373;447;478;1.243;-;4.608
PARMA;SISSA TRECASALI;893;1.041;676;552;526;676;723;1.980;2;7.069
PARMA;SOLIGNANO;224;248;149;122;135;137;157;610;2;1.784
PARMA;SORAGNA;493;631;450;357;300;455;408;1.249;1;4.344
PARMA;SORBOLO;976;1.244;874;775;685;913;926;1.929;1;8.323
PARMA;TERENZO;123;172;109;73;78;110;94;409;1;1.169
PARMA;TIZZANO VAL PARMA;289;296;181;130;136;140;131;927;1;2.231
PARMA;TORNOLO;109;154;104;84;67;76;71;350;-;1.015
PARMA;TORRILE;759;1.067;728;629;613;816;792;1.575;-;6.979
PARMA;TRAVERSETOLO;1.011;1.281;891;705;625;879;854;2.465;2;8.713
PARMA;VALMOZZOLA;61;81;58;29;33;42;46;260;1;611
PARMA;VARANO DE' MELEGARI;310;430;245;210;202;240;217;1.003;3;2.860
PARMA;VARSI;154;184;117;76;60;85;90;615;-;1.381
PIACENZA;AGAZZANO;200;262;176;128;98;140;173;576;4;1.757
PIACENZA;ALSENO;538;650;431;378;366;422;412;1.398;6;4.601
PIACENZA;ALTA VAL TIDONE;359;401;247;267;194;221;234;1.147;2;3.072
PIACENZA;BESENZONE;135;128;67;75;66;67;69;287;2;896
PIACENZA;BETTOLA;311;360;235;158;159;181;182;1.092;3;2.681
PIACENZA;BOBBIO;390;484;318;243;182;258;290;1.228;2;3.395
PIACENZA;BORGONOVO VAL TIDONE;709;878;592;529;466;548;625;1.818;2;6.167
PIACENZA;CADEO;623;846;534;433;392;456;488;1.581;3;5.356
PIACENZA;CALENDASCO;289;391;211;215;191;245;229;752;3;2.526
PIACENZA;CAORSO;490;640;432;381;405;506;421;1.184;3;4.462
PIACENZA;CARPANETO PIACENTINO;808;975;715;572;526;649;606;2.040;5;6.896
PIACENZA;CASTELL'ARQUATO;539;583;400;291;300;373;406;1.421;-;4.313
PIACENZA;CASTEL SAN GIOVANNI;1.329;1.598;1.065;771;828;1.071;1.053;2.939;-;10.654
PIACENZA;CASTELVETRO PIACENTINO;558;723;509;407;409;448;459;1.314;8;4.835
PIACENZA;CERIGNALE;10;18;10;11;11;6;7;43;-;116
PIACENZA;COLI;114;124;66;66;28;68;62;374;1;903
PIACENZA;CORTE BRUGNATELLA;82;86;46;51;30;50;39;283;2;669
PIACENZA;CORTEMAGGIORE;466;574;376;303;287;366;375;1.066;6;3.819
PIACENZA;FARINI;143;155;96;75;51;81;67;608;1;1.277
PIACENZA;FERRIERE;133;171;112;72;64;67;64;557;2;1.242
PIACENZA;FIORENZUOLA D'ARDA;1.467;1.825;1.284;1.015;968;1.342;1.231;3.646;7;12.785
PIACENZA;GAZZOLA;224;286;194;181;160;179;213;619;-;2.056
PIACENZA;GOSSOLENGO;527;726;576;495;489;627;600;1.102;2;5.144
PIACENZA;GRAGNANO TREBBIENSE;466;553;447;341;296;359;399;1.105;1;3.967
PIACENZA;GROPPARELLO;239;306;186;151;144;167;166;873;-;2.232
PIACENZA;LUGAGNANO VAL D'ARDA;419;560;353;243;218;256;268;1.293;1;3.611
PIACENZA;MONTICELLI D'ONGINA;517;665;448;364;324;402;405;1.384;3;4.512
PIACENZA;MORFASSO;106;154;68;65;50;50;63;507;-;1.063
PIACENZA;NON DEFINITO PC;2;5;2;1;-;-;2;32;-;44
PIACENZA;OTTONE;70;69;37;34;22;34;34;207;1;508
PIACENZA;PIACENZA;9.129;12.520;8.405;7.190;6.752;8.731;10.010;23.001;80;85.818
PIACENZA;PIANELLO VAL TIDONE;231;308;165;143;145;172;166;666;-;1.996
PIACENZA;PIOZZANO;75;109;61;54;37;50;37;274;-;697
PIACENZA;PODENZANO;865;1.304;900;784;680;949;963;2.031;2;8.478
PIACENZA;PONTE DELL'OLIO;458;595;392;312;262;374;324;1.497;1;4.215
PIACENZA;PONTENURE;657;835;591;469;446;618;590;1.390;4;5.600
PIACENZA;RIVERGARO;708;968;635;563;542;703;731;1.648;2;6.500
PIACENZA;ROTTOFRENO;1.152;1.532;1.088;928;852;1.074;1.134;2.268;5;10.033
PIACENZA;SAN GIORGIO PIACENTINO;603;793;516;397;401;477;463;1.368;3;5.021
PIACENZA;SAN PIETRO IN CERRO;88;125;92;79;48;63;53;306;-;854
PIACENZA;SARMATO;316;404;218;196;203;198;264;810;4;2.613
PIACENZA;TRAVO;222;300;218;169;150;187;181;745;1;2.173
PIACENZA;VERNASCA;241;268;197;153;144;161;178;792;3;2.137
PIACENZA;VIGOLZONE;407;578;363;328;294;388;373;1.100;1;3.832
PIACENZA;VILLANOVA SULL'ARDA;172;230;169;140;129;161;176;461;4;1.642
PIACENZA;ZERBA;8;14;5;5;6;7;3;37;-;85
PIACENZA;ZIANO PIACENTINO;280;300;206;172;158;196;203;824;3;2.342
RAVENNA;ALFONSINE;1.258;1.701;1.185;855;791;973;909;3.364;6;11.042
RAVENNA;BAGNACAVALLO;1.868;2.342;1.544;1.159;988;1.336;1.265;4.854;5;15.361
RAVENNA;BAGNARA DI ROMAGNA;268;331;253;199;151;221;221;576;3;2.223
RAVENNA;BRISIGHELLA;891;1.116;734;508;501;483;482;2.724;1;7.440
RAVENNA;CASOLA VALSENIO;352;332;223;155;122;152;176;968;2;2.482
RAVENNA;CASTEL BOLOGNESE;963;1.263;862;665;549;756;821;2.122;3;8.004
RAVENNA;CERVIA;3.301;4.210;2.807;2.073;1.920;2.459;2.548;7.606;8;26.932
RAVENNA;CONSELICE;1.131;1.335;795;609;538;671;696;3.217;5;8.997
RAVENNA;COTIGNOLA;793;1.047;758;533;511;665;648;1.775;4;6.734
RAVENNA;FAENZA;6.247;8.244;5.698;4.168;3.735;5.139;5.688;14.747;22;53.688
RAVENNA;FUSIGNANO;869;1.070;709;598;468;595;553;2.287;2;7.151
RAVENNA;LUGO;3.449;4.249;3.003;2.278;2.056;2.531;2.587;8.921;15;29.089
RAVENNA;MASSA LOMBARDA;1.068;1.316;840;632;590;733;713;2.812;4;8.708
RAVENNA;NON DEFINITO RA;10;-;-;-;-;-;-;47;-;57
RAVENNA;RAVENNA;17.337;22.524;15.372;12.543;10.991;14.051;15.150;38.411;62;146.441
RAVENNA;RIOLO TERME;586;777;514;374;346;400;397;1.677;3;5.074
RAVENNA;RUSSI;1.360;1.769;1.098;855;776;969;1.050;3.055;4;10.936
RAVENNA;SANT'AGATA SUL SANTERNO;322;408;277;262;220;282;298;745;-;2.814
RAVENNA;SOLAROLO;455;603;350;319;266;335;341;1.185;2;3.856
REGGIO EMILIA;ALBINEA;884;1.126;813;726;682;876;877;1.860;2;7.846
REGGIO EMILIA;BAGNOLO IN PIANO;961;1.264;782;663;587;691;750;2.013;3;7.714
REGGIO EMILIA;BAISO;379;442;282;261;229;310;297;1.000;1;3.201
REGGIO EMILIA;BIBBIANO;1.231;1.486;962;798;740;860;821;2.813;8;9.719
REGGIO EMILIA;BORETTO;576;643;400;378;327;435;447;1.234;-;4.440
REGGIO EMILIA;BRESCELLO;704;841;547;479;445;582;979;1.504;-;6.081
REGGIO EMILIA;CADELBOSCO DI SOPRA;1.117;1.399;814;762;619;844;984;2.494;6;9.039
REGGIO EMILIA;CAMPAGNOLA EMILIA;563;651;446;396;335;423;459;1.206;-;4.479
REGGIO EMILIA;CAMPEGINE;519;624;383;340;292;411;430;1.076;2;4.077
REGGIO EMILIA;CANOSSA;428;564;326;281;201;260;337;1.234;-;3.631
REGGIO EMILIA;CARPINETI;483;586;412;352;276;308;340;1.347;2;4.106
REGGIO EMILIA;CASALGRANDE;2.003;2.646;1.610;1.586;1.324;1.929;1.983;4.133;7;17.221
REGGIO EMILIA;CASINA;515;649;372;347;262;344;319;1.406;1;4.215
REGGIO EMILIA;CASTELLARANO;1.573;2.069;1.253;1.283;1.167;1.581;1.564;3.383;4;13.877
REGGIO EMILIA;CASTELNOVO DI SOTTO;797;1.108;654;553;523;658;666;2.069;2;7.030
REGGIO EMILIA;CASTELNOVO NE' MONTI;1.204;1.504;1.025;849;703;873;929;2.921;2;10.010
REGGIO EMILIA;CAVRIAGO;1.025;1.465;827;739;637;853;911;2.124;1;8.582
REGGIO EMILIA;CORREGGIO;2.427;3.217;2.137;1.874;1.712;2.062;2.288;5.640;10;21.367
REGGIO EMILIA;FABBRICO;571;760;485;368;409;515;454;1.159;1;4.722
REGGIO EMILIA;GATTATICO;682;771;551;451;371;502;558;1.499;3;5.388
REGGIO EMILIA;GUALTIERI;722;789;518;451;381;555;513;1.696;4;5.629
REGGIO EMILIA;GUASTALLA;1.306;1.713;1.164;1.061;1.050;1.265;1.147;3.053;3;11.762
REGGIO EMILIA;LUZZARA;803;1.017;655;580;535;653;689;1.854;6;6.792
REGGIO EMILIA;MONTECCHIO EMILIA;1.022;1.367;885;816;710;895;935;2.508;7;9.145
REGGIO EMILIA;NON DEFINITO RE;3;-;-;-;1;-;-;10;-;14
REGGIO EMILIA;NOVELLARA;1.333;1.674;1.059;1.013;811;991;999;2.991;2;10.873
REGGIO EMILIA;POVIGLIO;794;980;577;481;421;572;614;2.190;3;6.632
REGGIO EMILIA;QUATTRO CASTELLA;1.309;1.720;1.202;1.082;949;1.200;1.223;2.847;5;11.537
REGGIO EMILIA;REGGIOLO;872;1.141;733;642;547;738;762;1.892;1;7.328
REGGIO EMILIA;REGGIO NELL'EMILIA;17.272;23.337;15.279;12.913;12.742;15.028;16.993;35.673;74;149.311
REGGIO EMILIA;RIO SALICETO;593;831;501;432;371;476;571;1.348;3;5.126
REGGIO EMILIA;ROLO;337;432;274;218;244;315;306;755;2;2.883
REGGIO EMILIA;RUBIERA;1.476;1.938;1.274;1.168;1.067;1.273;1.446;2.701;3;12.346
REGGIO EMILIA;SAN MARTINO IN RIO;834;1.045;667;548;565;631;712;1.657;3;6.662
REGGIO EMILIA;SAN POLO D'ENZA;683;899;550;438;353;481;483;1.814;3;5.704
REGGIO EMILIA;SANT'ILARIO D'ENZA;1.155;1.495;973;787;681;937;952;2.307;8;9.295
REGGIO EMILIA;SCANDIANO;2.670;3.466;2.251;1.969;1.782;2.454;2.559;5.577;13;22.741
REGGIO EMILIA;TOANO;526;620;369;320;269;373;376;1.296;2;4.151
REGGIO EMILIA;VENTASSO;477;629;366;308;259;334;275;1.326;-;3.974
REGGIO EMILIA;VETTO;216;253;162;125;116;140;150;624;1;1.787
