;;ALTRE;BENZINA;BENZINA E GAS LIQUIDO;BENZINA E METANO;ELETTRICITA;GASOLIO;GASOLIO E GAS;IBRIDO BENZINA;IBRIDO GASOLIO;METANO;NON DEFINITO;Somma:
FORLI'-CESENA;BERTINORO;-;2.836;1.078;411;29;3.332;-;274;43;96;-;8.099
FORLI'-CESENA;BORGHI;-;733;298;174;3;991;-;58;5;28;-;2.290
FORLI'-CESENA;CASTROCARO TERME T.D.SOLE;-;1.682;625;238;11;1.734;-;154;26;36;-;4.506
FORLI'-CESENA;CESENA;1;24.080;8.407;3.676;336;24.779;-;2.864;404;848;1;65.396
FORLI'-CESENA;CESENATICO;2;6.456;2.219;1.034;92;7.003;-;651;116;248;-;17.821
FORLI'-CESENA;CIVITELLA DI ROMAGNA;-;900;276;134;5;1.171;-;58;10;30;-;2.584
FORLI'-CESENA;DOVADOLA;-;421;171;43;-;402;-;28;1;3;-;1.069
FORLI'-CESENA;FORLI';2;29.883;10.189;3.906;326;28.637;-;3.258;588;756;1;77.546
FORLI'-CESENA;FORLIMPOPOLI;-;3.392;1.123;531;40;3.563;-;321;46;105;1;9.122
FORLI'-CESENA;GALEATA;-;553;168;30;4;764;-;41;10;3;-;1.573
FORLI'-CESENA;GAMBETTOLA;-;2.504;902;567;20;3.063;-;218;49;132;-;7.455
FORLI'-CESENA;GATTEO;-;2.123;818;373;18;2.815;-;200;35;81;-;6.463
FORLI'-CESENA;LONGIANO;-;1.640;682;304;34;2.242;-;177;28;49;-;5.156
FORLI'-CESENA;MELDOLA;1;2.521;907;395;20;2.938;-;229;22;59;-;7.092
FORLI'-CESENA;MERCATO SARACENO;-;1.334;547;185;13;2.419;-;113;19;46;-;4.676
FORLI'-CESENA;MODIGLIANA;-;1.285;283;136;6;1.121;-;81;16;21;-;2.949
FORLI'-CESENA;MONTIANO;1;399;150;94;6;480;-;37;1;10;-;1.178
FORLI'-CESENA;NON DEFINITO FC;-;10;4;1;-;5;-;-;-;-;-;20
FORLI'-CESENA;PORTICO E SAN BENEDETTO;-;189;42;13;1;207;-;7;1;3;-;463
FORLI'-CESENA;PREDAPPIO;-;1.692;482;173;10;1.809;-;106;34;33;-;4.339
FORLI'-CESENA;PREMILCUORE;-;195;38;17;1;236;-;9;2;-;-;498
FORLI'-CESENA;ROCCA SAN CASCIANO;-;422;134;44;3;531;-;20;4;7;-;1.165
FORLI'-CESENA;RONCOFREDDO;-;779;334;104;8;1.184;-;74;13;18;-;2.514
FORLI'-CESENA;SAN MAURO PASCOLI;-;2.915;1.041;390;42;3.424;-;248;37;96;-;8.193
FORLI'-CESENA;SANTA SOFIA;1;1.136;280;95;13;1.247;-;68;12;8;-;2.860
FORLI'-CESENA;SARSINA;-;719;206;63;14;1.181;-;54;8;19;-;2.264
FORLI'-CESENA;SAVIGNANO SUL RUBICONE;1;4.444;1.554;727;39;5.126;-;393;49;143;-;12.476
FORLI'-CESENA;SOGLIANO AL RUBICONE;-;770;278;108;3;1.105;-;46;10;11;-;2.331
FORLI'-CESENA;TREDOZIO;-;311;71;26;-;349;-;30;4;5;-;796
FORLI'-CESENA;VERGHERETO;-;420;76;12;3;733;-;34;3;3;-;1.284
MODENA;BASTIGLIA;-;951;421;116;14;1.219;-;142;22;10;-;2.895
MODENA;BOMPORTO;-;2.531;898;287;32;3.031;-;312;55;47;-;7.193
MODENA;CAMPOGALLIANO;-;2.197;916;236;49;2.301;-;292;48;45;-;6.084
MODENA;CAMPOSANTO;-;721;277;87;5;1.041;-;75;8;16;-;2.230
MODENA;CARPI;-;19.193;5.579;1.573;285;16.577;-;2.625;451;380;-;46.663
MODENA;CASTELFRANCO EMILIA;-;8.249;2.932;1.184;88;8.596;-;1.176;119;275;-;22.619
MODENA;CASTELNUOVO RANGONE;-;3.886;1.159;494;93;3.836;-;681;98;98;-;10.345
MODENA;CASTELVETRO DI MODENA;-;2.927;851;377;53;3.385;-;375;75;63;-;8.106
MODENA;CAVEZZO;-;1.735;459;212;25;2.123;-;186;25;50;-;4.815
MODENA;CONCORDIA SULLA SECCHIA;-;2.265;513;181;27;2.574;-;200;42;36;-;5.838
MODENA;FANANO;-;828;234;72;8;976;-;97;8;8;-;2.231
